Metadata: Table 1
Sheet	Column	Source	Notes
Storms	Name	US NOAA National Hurricane Centre. US NOAA National Centres for Environmental Information.	U = “unnamed” or “not named”
	Start		
	150 mi		
	50 mi		
	0 mi		
	Max wind		
	Min press		-1 = missing data
	Max cat w/in		
Storms	Parliament	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	Public Meeting counted as first Parliament. Legislative Council counted as one Parliament.
Storms	EM-DAT	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters 	1 = yes
	EM-DAT Loss		Figures in current currency
	EM-DAT Deaths		
Storms	Loss	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters. Belize NEMO. World Bank “Advancing Disaster Risk Finance in Belize” 2018 by Ishizawa & Gunasekera et al. US NOAA National Hurricane Centre.	Figures in current currency
	Deaths		
Trade + GDP	Imports	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. British Honduras / Belize Government Gazette.	Figures in current currency
	Import units		
	Exports		Figures in current currency
	Export units		
	GDP	World Bank.	Figures in current currency
CPI	US	US Bureau of Labour Statistics.	1967 = 100
	UK	UK Office for National Statistics.	1974 = 100. CPI for 2020 excludes December.
	Belize	Belize Statistical Institute of Belize.	2011 = 100. CPI for 2020 excludes November and December.
FX	S$ to Lsd	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	S$ = Spanish dollar
	G$ to Lsd		G$ = US gold dollar
	USD to GBP	"EU European Central Bank. US Federal Reserve. UK Bank of England. via FXTOP sarl, France."	
	Lsd to BHD	"GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade; Sir J.A. Burdon, Archives v 3, p. 318"	BHD = British Honduras dollar
	USD to BHD		BHD = British Honduras dollar
Population	Censuses	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. 	
	Estimates	"Author’s estimates from census data prior to 1960. World Bank beginning in 1960. Prior to 1841 = “The Growth and Development of Belize City” J.C. Everitt 2009; “British Honduras: The invention of a colonial territory” Odile Hoffmann 2014; The Diplomatic history of British Honduras, 1638-1901 by Robert Arthur Humphreys ; Belize SIB; Savanna-la-Mar Gazette (Jamaica) 15 Jul 1788 p. 3"	

Disasterssdsdf: Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1915	Anthropological	Engagement	53	53			WWI	Commonwealth War Graves Commission for 39 from BHTF and 12 from BWIR (whose biographies mentioned provenance); The Lusitania Resource for 2 perished in RMS Lusitania		
1918	Technological	Fire	1	1			"Fire, $400,000 USD loss"	"Honduras Governor Killed, article in The Washington Post, 13 Sep 1918"		
1918	Biological	Outbreak	1014	1014			Outbreak of Spanish flu	Report on recent epidemic of influenza in the town of Belize by Sgd. Thomas Gann 1919; Report on the influenza epidemic in the Districts by Thomas Gann 1919		
1919	Anthropological	Riot		0			"Ex-Servicemen’s Riots; looting by c 3,339 in Belize City, esp. during power outage; 2 injured"			
1921	Biological	Outbreak	4	4			Outbreak of yellow fever	"Public Health Reports, 26 Aug 1921, p 2084"		
1923	Technological	Wreck	20	20			Shipwreck during hurricane in April	Hull Daily Mail 11709		
1931	Technological	Fire	0	0			Fire	NYT 14 Sep 1931 p. 7		
1931	Natural	Storm	2500	2500			Landfall of unnamed 1931 hurricane +242192£ ln fm GB = 246948£ repapid + 100418£ remitted Cmd. 7715  p 79			
1932	Technological	Fire	0	0			Fire; $250000 USD lost	"NYT “$250,000 Fire in Belize” 19 April 1932 p. 3"		
1939	Anthropological	Engagement	10	10			WWII	"Commonwealth War Graves Commission for 4 from RAF, 6 from NCF, whose biographies mentioned provenance"		
1950	Anthropological	Riot	0	0			Riots	NYT “Princess Cancels Visit” 20 Feb 1950 p. 10		
1953	Technological	Fire	1	1			Fire; $1 m USD damage	NYT “Artist Arsonist gets 15 Years” 20 May 1954 p. 35		
1955	Natural	Storm	16	16			Close passage of Hurricane Janet			
1961	Natural	Storm	307	307			Landfall of Hurricane Hattie			
1970	Technological	Wreck	4	4			Plane crash	NYT “Four Killed in Crash of Chartered Plane” 27 May 1970 p. 93		
1974	Natural	Storm	1	1			Close passage of Hurricane Carmen			
1978	Natural	Storm	4	4			Landfall of Hurricane Greta			
1981	Anthropological	Riot	5	5			"Riots; “dozen buildings destroyed”; “several stores looted”, 5 killed in Corozal"	NYT “A State of Emergency is Declared in Belize” 3 Apr 1981 p. 7; “Belize is Quiet After Rioting Over Independence Pact” 4 Apr 1981 p. 24		
1986	Biological	Outbreak	1753	1753			Outbreak of HIV / AIDS	Belize Ministry of Health; Belize National AIDS Commission		
1997	Technological	Wreck	22	22			Shipwreck	EM-DAT		
1998	Natural	Storm	9	9			Close passage of Hurricane Mitch			
2000	Natural	Storm	19	19			Landfall of Hurricane Keith			
2001	Natural	Storm	24	24			Landfall of Hurricane Iris			
2005	Natural	Storm	3	3			Close passage of Hurricane Gamma			
2008	Natural	Flooding	5	5			Flash flooding in Stann Creek caused by Hurricane Arthur	Channel 7 News 2 Jun 2008		
2008	Natural	Storm	5	5			Landfall of Hurricane Arthur			
2009	Biological	Outbreak	1	1			Outbreak of swine flu	"Shahera Bodden, 29, is Belize’s 1st confirmed death from swine flu, article in Amandala, 17 Jan 2014, online"		
2010	Natural	Storm	1	1			Landfall of Hurricane Richard			
2017	Anthropological	Wreck	0	0			"Detonation of grenade in San Pedro, AC"	Ambergris Today 18 Sep 2017		
2017	Technological	Wreck	1	1			"Explosion in quarry in Santa Cruz, CY; 14 houses, 10 cars significantly damaged"	BBN 13 Dec 2017; Channel 7 News 13 Dec 2017		
2019	Biological	Outbreak	277	277			Outbreak of COVID-19	Belize Ministry of Health		
2019	Technological	Wreck	2	2			Explosion of water taxi; two girls died	San Pedro Sun 9 May 2019		


Population < 1790: Table 1
	L Estimate	U Estimate	Source	Description	
1700	114	400	"Gilbert M Joseph British Loggers and Spanish Governors Part I 1976 p 24; M. A. Camille & R. Espejo-Saavedra Historical Geography of the Belizean Logwood Trade 1996 p 78, 79, Dampier’s Voyages by William Dampier v 2 Part II ch I, II, UK NA CO 138/10, p. 76 “An estimate of what value is shipped annually from Jamaica to England”"	"c mid-1670s; c 400 loggers in Bay “Rio Viejo”, 300 in Laguna de Terminos … c 1670 c dozen privateering vessels shipping logwood from Yucatan … c 1690, 1000 tonnes logwood trade; in Sep 1675, “about 250 Men” in Campeachy, by direct observation, rate 5L per tonne, hired at a tonne of wood per month by a gang of six, with 5-day weekdays … c 1700; 20,000L in logwood shipped from Jamaica to England"	
1701	0	0	1701 Raid c. May		
1702	114	400			
1703	120	393			
1704	127	386			
1705	133	379			
1706	139	371			
1707	145	364			
1708	151	357			
1709	157	350			
1710	163	343			
1711	169	336			
1712	19	20	Nathaniel Uring A history of the voyages and travels of Capt. Nathaniel Uring 1726 p. 246	"c Sep 1712; 7 or 8 white, 12 slaves; “Spaniards having routed the People from thence some Time before"""	
1713	176	229	Report from Lords Commissioners for Trade and Plantations re. logwood cutting 28 Sep 1717 / in UK NA CO 5/384	"1 Jan to 31 Dec; 2189 tonnes = 35024L current currency logwood imported, likely from all places, to England"	
1714	180	200	Report from Lords Commissioners for Trade and Plantations re. logwood cutting 28 Sep 1717 / in UK NA CO 5/384	"1 Jan to 31 Dec; 4878  tonnes = 78048L current currency logwood imported, likely from all places, to England"	
1715	190	250	The Boston News-Letter 19 Sep 1715 p. 2; Report from Lords Commissioners for Trade and Plantations re. logwood cutting 28 Sep 1717 / in UK NA CO 5/384	"19 Sep 1715; “Two Hundred Men gone … the few that remain are at the point of Starving … several Negroes dyed”; 1 Jan to 31 Dec; 5863 tonnes logwood imported, likely from all places, to England, at 16L"	
1716	200	300	The Boston News-Letter 8 Apr 1717 p. 2 issue 677; Report from Lords Commissioners for Trade and Plantations re. logwood cutting 28 Sep 1717 / in UK NA CO 5/384	"30 Nov 1716; 21 or 22 English vessels at Bay = c 280 to 380; 200 to 300 remained in woods after Spanish raid; 1 Jan to 31 Dec; 2032 tonnes logwood imported, likely from all places, to England, at 16L"	
1717	0	0	"A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88 … 1717 Raid in Oct"	"1 Jan to 31 Dec 1717; 5863 tonnes logwood imported into Port London, at 5L per tonne"	
1718	200	300			
1719	263	350			
1720	325	400			
1721	388	450			
1722	450	500	"by John Atkins in “A voyage to Guinea, Brasil and the West-Indies in His Majesty's ships, the Swallow and Weymouth” 1737 p. 227 "	c Aug 1722 “about 500 (Marchants and Slaves)”; made from Jamaica / common knowledge / not direct tally	
1723	0	0	1723 Raid c. May		
1724	325	400	Gilbert M Joseph British Loggers and Spanish Governors Part I 1976 p 30	"c 1724, importation of xxx slaves (first recoverable from records)"	
1725	360	400	The state of the island of Jamaica by A. B. 1726 p. 16	"c < 1726; circa 400 Bay-men (= 2000 men employed in logwood trade ÷ 100 Sail employed likewise, where “upwards of 20 Sail” were held by Baymen in 1718 and 1724); 12,000 tonnes export upper bound or average"	
1726	370	420			
1727	380	440			
1728	390	460			
1729	400	480	Raid on New & Hondo River c. Sep		
1730	410	500	Raid on Belize River in Jun		
1731	8	30	xxx	23 May 1731; “all the Bay Men were gone except eight or nine”; “remains … 30 Persons”; 	
1732	8	25			
1733	8	20	xxx	8 Oct 1733; “two Families left in the Bay”; 	
1734	8	15			
1735	325	400	xxx	20 Oct 1735; “the Fleet was there [Belize River] … [and] had met no Disturbance from the Spaniards”; 	
1736	348	454			
1737	372	509			
1738	395	563			
1739	419	617			
1740	442	672			
1741	465	726			
1742	489	780			
1743	512	835			
1744	535	889			
1745	559	943			
1746	582	997			
1747	606	"1,052"			
1748	629	"1,106"			
1749	652	"1,160"			
1750	676	"1,215"	M. A. Camille & R. Espejo-Saavedra Historical Geography of the Belizean Logwood Trade 1996 p 80; Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p154	"c 1750; 8000 tonnes logwood, at 25L 1750 currency per tonne; 1750, 8000 tonnes logwood, at 20L 1750 currency per tonne"	
1751	699	1269	New-York Mercury 27 Nov 1752 p 2 issue 16 ; Boston Gazette 10 Sep 1751 p 2 issue 1643	"1 May 1751; “most of the Bay-men” at Mosquito Shore (at least 40), driven away by “being daily routed by the Spaniards”; “about five Families left in the Bay”;  … 16 Jul 1751; 129 English = 7 Sloops at New River; “57 Sail” at Belize River"	
1752	808	"1,308"			
1753	916	"1,346"			
1754	0	0	Raid on Belize River c. Nov		
1755	"1,025"	1385	The Antigua Gazette 12 Apr 1755 p. 3	c Apr 1755; resettled by Bay men	
1756	"1,350"	1450			
1757	"1,350"	1500	E Burke & W Burke in “An account of the European settlements in America” v 2 ed 1 1757 p. 71	“about one thousand five hundred men”; not direct tally; “in some years it engaged near six thousand tons of shipping”; “returns were not less than sixty thousand pounds sterling a year”	
1758	122	246.666666666666	Pennsylvania Gazette 11 Jan 1759 p 3 issue 1568	19 May to 19 Nov 1758; “in Fear of a Rout … The greatest Part have … quit the Bay”	
1759	111	123.333333333333	Pennsylvania Gazette 7 Jun 1759 p 2 issue 1589; Pennsylvania Gazette 7 Feb 1760 issue 1624	23 Apr 1759; “the Bay is almost evacuated” … 24 Oct 1749; circa or min. 111 remained	
1760	"1,025"	"1,385"			
1761	"1,133"	"1,423"			
1762	"1,242"	"1,462"			
1763	"1,350"	1500	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p157; 15 May 1766 petition from settlers to Earl of Hillsborough (Sec.) in UK NA CO 5/119 	"7 Nov 1763; first exportation of mahogany, at least 22,000 feet, via Jamaica, to England; 24 Dec 1763 at least 20 English settler (men) in New & Hondo River before peaceful expulsion = 26,795L 1763 currency in losses, ranging from 6157L to 42L in individual / company / family / consortship / estate losses"	
1764	"1,392"	"1,537"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1764; L2,885 mahogany exported, directly from Belize, to England"	
1765	"1,435"	"1,574"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p157; Calendar of Home Office papers of the reign of George III 1766-1769 ff 700	"1 Jan to 31 Dec 1765; 140,000 feet mahogany exported = 3,791L official value, via Jamaica, to England; c Jul to Nov 1765; “near 73,000L” 1765 currency exports, likely to all parts, in six months prior to beginning of Jan / Mar 1766"	
1766	"1,477"	"1,610"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1766; 20 tonnes mahogany = 126,000 ft = 1,344L official value exported, via Jamaica, to England"	
1767	"1,519"	"1,647"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1767; 60 logs mahogany = 42,500 ft exported, via Jamaica, to England"	
1768	"1,562"	"1,684"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1768; 15 logs mahogany exported, via Jamaica, to England"	
1769	"1,604"	"1,721"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1769; 175 logs, via Jamaica, to England"	
1770	"1,646"	"1,757"			
1771	"1,689"	"1,794"			
1772	"1,731"	"1,831"			
1773	"1,773"	"1,868"			
1774	"1,816"	"1,905"			
1775	"1,858"	"1,941"			
1776	"1,900"	"1,978"			
1777	"1,943"	"2,015"			
1778	"1,985"	"2,052"	"Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p 160, p 163; Britannic Magazine 1801 v issue 130 p 325 "	"1 Jan to 31 Dec 1769; c 4,500 tonnes = 36,000L official value = 54,000L market value mahogany exported, directly or directly + via Jamaica, to England … 1 Jan to 31 Dec 1769; c 20,000 to 30,000 tonnes mahogany + logwood, via all routes, to all destinations; … 1 Jan to 31 Dec c 1779; 5 to 6 m ft mahogany + 2,000 tonnes logwood"	
1779	0	0	1779 Raid		
1780	0	0	1779 Raid		
1781	0	0	1779 Raid		
1782	"1,900"	"1,978"	xxx	"16 Sep 1782; return of Baymen, likely also formerly imprisoned ones"	
1783	"1,974"	"2,042"			
1784	"2,048"	"2,107"			
1785	"2,123"	"2,171"			
1786	"2,197"	"2,236"	Pennsylvania Journal / Weekly Advertiser 23 Aug 1786 issue 2094	1 Jul 1786; “Settlers at the Bay … daily increase”	
1787	"3,288"	3408	Daily Advertiser 14 Jan 1788 v IV issue 902; Savanna-la-Mar Gazette 15 Jul 1788	"2 Sep 1787; “near one thousand” at “Bellize-point”; 15 sloops and schooners at Old River’s Mouth; 22 or 23 in other parts (N River, Rowley’s Bight, New River) … c. Dec 1787; 3408 population, of which 1200 = old Baymen"	
1788	"3,023"	3103	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p160	"1 Jan to 31 Dec 1769; c 14,000L mahogany exported, via Jamaica, to England"	
1789	"2,758"	2798			
1790	2493	2493	First Census		

Population: Table 1
	Censuses	Estimates	
1700		257	
1701		0	
1702		257	
1703		257	
1704		256	
1705		256	
1706		255	
1707		255	
1708		254	
1709		254	
1710		253	
1711		253	
1712		20	
1713		203	
1714		190	
1715		220	
1716		250	
1717		0	
1718		250	
1719		306	
1720		363	
1721		419	
1722		475	
1723		0	
1724		363	
1725		380	
1726		395	
1727		410	
1728		425	
1729		440	
1730		455	
1731		19	
1732		17	
1733		14	
1734		12	
1735		363	
1736		401	
1737		440	
1738		479	
1739		518	
1740		557	
1741		596	
1742		634	
1743		673	
1744		712	
1745		751	
1746		790	
1747		829	
1748		867	
1749		906	
1750		945	
1751		984	
1752		"1,058"	
1753		"1,131"	
1754		0	
1755		"1,205"	
1756		"1,400"	
1757		"1,425"	
1758		184	
1759		117	
1760		"1,205"	
1761		"1,278"	
1762		"1,352"	
1763		"1,425"	
1764		"1,465"	
1765		"1,504"	
1766		"1,544"	
1767		"1,583"	
1768		"1,623"	
1769		"1,662"	
1770		"1,702"	
1771		"1,741"	
1772		"1,781"	
1773		"1,821"	
1774		"1,860"	
1775		"1,900"	
1776		"1,939"	
1777		"1,979"	
1778		"2,018"	
1779		0	
1780		0	
1781		0	
1782		"1,939"	
1783		"2,008"	
1784		"2,078"	
1785		"2,147"	
1786		"2,216"	
1787		"3,348"	
1788		"3,063"	
1789		"2,778"	
1790	2493	"2,493"	
1791		"2,606"	
1792		"2,719"	
1793		"2,831"	
1794		"2,944"	
1795		"3,057"	
1796		"3,170"	
1797		"3,282"	
1798		"3,395"	
1799		"3,508"	
1800		"3,621"	
1801		"3,733"	
1802		"3,846"	
1803		"3,959"	
1804		"3,914"	
1805		"3,869"	
1806	3824	"3,824"	
1807		"3,841"	
1808		"3,857"	
1809		"3,874"	
1810		"3,891"	
1811		"3,907"	
1812		"3,924"	
1813		"3,941"	
1814		"3,957"	
1815		"3,974"	
1816		"3,990"	
1817		"4,007"	
1818		"4,024"	
1819		"4,040"	
1820		"4,057"	
1821		"4,074"	
1822		"4,090"	
1823	4107	"4,107"	
1824		"4,622"	
1825		"5,138"	
1826	5653	"5,653"	
1827		"5,180"	
1828		"4,708"	
1829	4235	"4,235"	
1830		"4,336"	
1831		"4,436"	
1832	4537	"4,537"	
1833		"3,872"	
1834		"3,208"	
1835	2543	"2,543"	
1836		"3,492"	
1837		"4,440"	
1838		"5,389"	
1839		"6,338"	
1840		"7,286"	
1841	8235	"8,235"	
1842		"8,718"	
1843		"9,201"	
1844		"9,685"	
1845		"10,168"	
1846		"10,651"	
1847		"11,134"	
1848		"11,618"	
1849		"12,101"	
1850		"12,584"	
1851		"13,067"	
1852		"13,550"	
1853		"14,034"	
1854		"14,517"	
1855		"15,000"	
1856		"16,773"	
1857		"18,545"	
1858		"20,318"	
1859		"22,090"	
1860		"23,863"	
1861	25635	"25,635"	
1862		"25,543"	
1863		"25,450"	
1864		"25,358"	
1865		"25,265"	
1866		"25,173"	
1867		"25,080"	
1868		"24,988"	
1869		"24,895"	
1870		"24,803"	
1871	24710	"24,710"	
1872		"24,984"	
1873		"25,258"	
1874		"25,533"	
1875		"25,807"	
1876		"26,081"	
1877		"26,355"	
1878		"26,629"	
1879		"26,904"	
1880		"27,178"	
1881	27452	"27,452"	
1882		"27,854"	
1883		"28,256"	
1884		"28,658"	
1885		"29,060"	
1886		"29,462"	
1887		"29,863"	
1888		"30,265"	
1889		"30,667"	
1890		"31,069"	
1891	31471	"31,471"	
1892		"32,072"	
1893		"32,673"	
1894		"33,273"	
1895		"33,874"	
1896		"34,475"	
1897		"35,076"	
1898		"35,677"	
1899		"36,277"	
1900		"36,878"	
1901	37479	"37,479"	
1902		"37,777"	
1903		"38,075"	
1904		"38,373"	
1905		"38,671"	
1906		"38,969"	
1907		"39,266"	
1908		"39,564"	
1909		"39,862"	
1910		"40,160"	
1911	40458	"40,458"	
1912		"40,944"	
1913		"41,430"	
1914		"41,916"	
1915		"42,402"	
1916		"42,888"	
1917		"43,373"	
1918		"43,859"	
1919		"44,345"	
1920		"44,831"	
1921	45317	"45,317"	
1922		"45,920"	
1923		"46,523"	
1924		"47,126"	
1925		"47,729"	
1926		"48,332"	
1927		"48,935"	
1928		"49,538"	
1929		"50,141"	
1930		"50,744"	
1931	51347	"51,347"	
1932		"51,872"	
1933		"52,397"	
1934		"52,922"	
1935		"53,446"	
1936		"53,971"	
1937		"54,496"	
1938		"55,021"	
1939		"55,546"	
1940		"56,071"	
1941		"56,596"	
1942		"57,121"	
1943		"57,645"	
1944		"58,170"	
1945		"58,695"	
1946	59220.0	"59,220"	
1947		"59,998"	
1948		"60,776"	
1949		"65,354"	
1950		"68,915"	
1951		"70,741"	
1952		"73,171"	
1953		"75,778"	
1954		"78,094"	
1955		"80,888"	
1956		"82,333"	
1957		"85,098"	
1958		"88,156"	
1959		"89,486"	
1960	90505	"90,508"	
1961		"93,586"	
1962		"98,453"	
1963		"100,165"	
1964		"103,069"	
1965		"106,120"	
1966		"109,348"	
1967		"112,707"	
1968		"116,065"	
1969		"119,269"	
1970		"122,184"	
1971		"124,795"	
1972		"127,152"	
1973		"129,294"	
1974		"131,305"	
1975		"133,264"	
1976		"135,143"	
1977		"136,990"	
1978		"138,975"	
1979		"141,302"	
1980		"144,142"	
1981		"147,572"	
1982		"151,486"	
1983		"155,820"	
1984		"160,341"	
1985		"164,918"	
1986		"169,569"	
1987		"174,333"	
1988		"179,023"	
1989		"183,471"	
1990		"187,554"	
1991		"191,136"	
1992		"194,324"	
1993		"197,625"	
1994		"201,679"	
1995		"206,962"	
1996		"213,660"	
1997		"221,575"	
1998		"230,248"	
1999		"238,979"	
2000		"247,310"	
2001		"255,068"	
2002		"262,387"	
2003		"269,428"	
2004		"276,516"	
2005		"283,798"	
2006		"291,338"	
2007		"299,031"	
2008		"306,822"	
2009		"314,655"	
2010		"322,465"	
2011		"330,236"	
2012		"338,001"	
2013		"345,707"	
2014		"353,366"	
2015		"360,926"	
2016		"368,399"	
2017		"375,775"	
2018		"383,071"	
2019		"390,351"	
2020		"397,621"	


Disasters Damages: Table 1
Start	Type	Subtype	R Damage	u	y	L 1	U 1	Mult	u	y	L 2	U 2	Mult	u	y	L 3	U 3	Mult	u	y	L 4	U 4	Mult	u	y	Sum L	Sum U	Formula
1701	Anthropological	Raid				0.14	0	26	L	1715	0.01	0	257	L	1715	4.5	5	500	L	1715			0			"1,258,072"	"1,397,858"	Cost of lumber + Cost of labour for hut + Lost earnings for period of displacement
1715	Natural	Famine																								0	0	
1716	Anthropological	Raid				4.5	5	375	L	1715	4.5	5	500	L	1715	6.3	7	600	L	1739			0			"4,303,998"	"4,782,220"	Lost earnings + Loss from logwood + Cost of vessels
1717	Anthropological	Raid				6.3	7	1000	L	1739	4.5	5	2931.5	L	1715											"10,870,418"	"12,078,243"	Cost of vessels + Lost earnings
1723	Anthropological	Raid				6.3	7	1000	L	1739	4.5	5	3500	L	1715											"12,297,137"	"13,663,486"	Cost of vessels + Lost earnings
1725	Anthropological	Engagement				6.3	7	770	L	1739																"2,705,370"	"3,005,967"	Cost of vessels
1725	Anthropological	Engagement				6.3	7	200	L	1739																"702,694"	"780,771"	Cost of vessels
1726	Anthropological	Engagement																								0	0	
1728	Anthropological	Engagement																								0	0	
1729	Anthropological	Raid				6.3	7	200	L	1739	8.1	9	14000	L	1728	8.1	9	48000	L	1728						"280,776,266"	"311,973,629"	Cost of vessels + Loss from logwood + Lost earnings
1730	Anthropological	Engagement																								0	0	
1731	Anthropological	Engagement				6.3	7	70	L	1739																"245,943"	"273,270"	Cost of vessels
1737	Anthropological	Engagement				8.1	9	1800	L	1728																"8,131,168"	"9,034,631"	Loss from logwood
1737	Biological	Outbreak																								0	0	
1739	Anthropological	Raid				6.3	7	840	L	1739																"2,951,313"	"3,279,237"	Cost of vessels
1747	Anthropological	Raid				6.3	7	300	L	1739																"1,054,040"	"1,171,156"	Cost of vessels
1751	Anthropological	Raid				6.3	7	450	L	1739	18	20	2666.66666666667	L	1750											"28,350,339"	"31,500,376"	Cost of vessels + Lost earnings
1754	Anthropological	Raid				6.3	7	1250	L	1739	9.9	11	3000	L	1756											"20,636,797"	"22,929,774"	Cost of vessels + Cost of houses + Cost of personal & household property + Lost earnings
1765	Anthropological	Riot																								0	0	
1770	Anthropological	Riot				175	233	16	L	1768	58	117	16	L	1768	9.45	10.5	20	L	1770						"1,716,832"	"2,541,531"	Cost of houses + Cost of personal & household property + Loss of mahogany
1771	Natural	Famine				0.135	0.15	2240000	L	1771																"128,372,673"	"142,636,303"	Loss of crops
1772	Anthropological	Engagement																								0	0	
1773	Anthropological	Engagement																								0	0	
1773	Anthropological	Riot																								0	0	
1775	Anthropological	Engagement																								0	0	
1779	Anthropological	Engagement				6.3	7	1875	L	1739	175	233	198	L	1768	58	117	198	L	1768	11.25	12.5	60000	L	1779	"321,605,326"	"364,982,716"	Cost of vessels + Cost of houses + Cost of personal & household property + Lost earnings
1779	Anthropological	Engagement																								0	0	
1780	Anthropological	Engagement																								0	0	
1784	Natural	Storm																								0	0	
1785	Biological	Outbreak																								0	0	
1785	Natural	Storm	1500	L	1785																					"592,549"	"592,549"	
1787	Anthropological	Riot																								0	0	
1787	Natural	Storm	30000	L	1787																					"11,850,983"	"11,850,983"	
1788	Biological	Outbreak																								0	0	
1792	Natural	Flooding				9.45	10.5	317.460317460317	L	1789	58	117	217	L	1768											"6,536,631"	"12,048,311"	Loss of mahogany + Cost of household property
1794	Anthropological	Engagement																								0	0	
1798	Hostile	Engagement																								0	0	
1812	Natural	Storm																								0	0	
1813	Natural	Storm				64	86	95	L	1792	21	43	95	L	1792											"3,036,376"	"4,554,564"	Cost of houses + Cost of personal & household property
1823	Biological	Outbreak				0	0	144	L	1792																577	577	Cost of medical care
1824		Engagement				6.3	7	70	L	1739																"245,943"	"273,270"	Cost of vessels
1830	Biological	Outbreak				0	0	152	L	1792																609	609	Cost of medical care
1831	Natural	Storm																								0	0	
1852	Natural	Flooding				21	43	542	L	1792																"4,350,513"	"8,701,027"	Loss of personal & household property
1854	Technological	Fire	95000	L	1854																					"26,490,431"	"26,490,431"	
1854	Biological	Outbreak				0	0	508	L	1792																"2,039"	"2,039"	Cost of medical care
1856	Technological	Fire	100000	L	1856																					"27,087,960"	"27,087,960"	
1857	Biological	Outbreak				0	0	649	L	1792																"2,605"	"2,605"	Cost of medical care
1860	Biological	Outbreak				0	0	835	L	1792																"3,352"	"3,352"	Cost of medical care
1863	Technological	Fire				64	86	450	L	1792	21	43	450	L	1792											"14,447,819"	"21,671,728"	Cost of houses + Cost of personal & household property
1863	Anthropological	Riot																								0	0	
1864	Natural	Flooding				64	86	315	L	1792	21	43	315	L	1792	0.135	0.15	"426,006"	L	1771						"34,527,548"	"42,296,960"	Cost of houses + Cost of personal & household property + Loss of crops
1864	Natural	Gales				6.3	7	350	L	1739																"1,229,714"	"1,366,349"	Cost of vessels
1866	Anthropological	Engagement																								0	0	
1866	Anthropological	Raid																								0	0	
1866	Anthropological	Raid	45510	B	1866																					"2,725,077"	"2,725,077"	
1867	Biological	Outbreak				0	0	878	L	1792																"3,523"	"3,523"	Cost of medical care
1867	Anthropological	Raid																								0	0	
1867	Anthropological	Raid																								0	0	
1867	Anthropological	Raid				0.14	0	60	L	1715	0.01	0	600	L	1715											"7,613"	"8,458"	Cost of lumber + Cost of labour for hut
1868	Anthropological	Raid	177031	B	1872																					"9,683,037"	"9,683,037"	
1872	Anthropological	Raid																								0	0	
1872	Anthropological	Raid																								0	0	
1886	Biological	Outbreak				0	0	881	L	1792																"3,536"	"3,536"	Cost of medical care
1894	Anthropological	Riot																								0	0	
1905	Biological	Outbreak				0	0	"1,353"	L	1792																"5,432"	"5,432"	Cost of medical care
1914	Anthropological	Engagement																								0	0	
1918	Technological	Fire																								0	0	Cost of houses + Cost of personal & household property
1918	Biological	Outbreak				0	0	"1,535"	L	1792																"6,161"	"6,161"	Cost of medical care
1921	Biological	Outbreak				0	0	"1,586"	L	1792																"6,365"	"6,365"	Cost of medical care
1931	Technological	Fire																								0	0	Cost of houses + Cost of personal & household property
1931	Natural	Storm																								0	0	
1932	Technological	Fire	250000	U	1932																					"9,440,146"	"9,440,146"	
1939	Anthropological	Engagement																								0	0	
1950	Anthropological	Riot																								0	0	
1953	Technological	Fire	1000000	U	1953																					"19,375,281"	"19,375,281"	
1955	Natural	Storm																								0	0	
1961	Natural	Storm																								0	0	
1974	Natural	Storm																								0	0	
1978	Natural	Storm																								0	0	
1981	Anthropological	Riot																								0	0	
