Primary P: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		MS		1780	1815	1184	items	Nugent Papers	National Army Museum	London	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/c9a48450-da31-492e-b151-6ca2342ba7a4	
		MS	Lib Jam MS d	1655	2017	2521	mss	Manuscript and Archive Collection	National Library of Jamaica	Kingston	Jamaica					Lib Jam Catalogue	Lib Jam Catalogue Link: https://nlj.gov.jm/manuscripts-2/ 	
		MS		xxx		xxx		Manuscript collection	National Museum of the Royal Navy	Portsmouth	UK						https://www.nmrn-portsmouth.org.uk/manuscripts-collection-0	
		MS		1804	1805	1	items	log of voyage from London to Barbados and the Bay of Honduras	National Records of Scotland	Edinburgh	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/N13670886	
		MS		1728	1733	1	vols	"Account book, 1728-1733, Mss C 5000"	New England Historic Genealogical Society	Boston	USA						http://library.nehgs.org/record=b1064377~S0	
		MS		1920	1993	4	folders	Arthur Alfonso Schomburg collection	New York Public Library	New York	USA							
		MS		1890	1999	215	feet	Robert Jackson Alexander papers	New York Public Library	New York	USA							
		MS		1739	1742	1	vols	Nicholas Stewart daybook	New York Public Library	New York	USA							
		MS		1714	1716	1	vols	Thomas Moffatt correspondence	New York Public Library	New York	USA							
		MS		1483	1876	30.83	feet	Thomas Addis Emmet collection	New York Public Library	New York	USA							
		MS		1662	1788	1	vols	Letters from Jamaica on commercial affairs	New York Public Library	New York	USA							
		MS		1768	1787	1	items	Benjamin Randolph ledger	New York Public Library	New York	USA							
		MS		1746	1888	2	feet	"Squier family papers, 1746-1888 (bulk 1816-1888)"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000801952	
		MS		1847	1894	8	vols	"Papers, 1847-1894 (bulk 1849-1859)"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000799542	
		MS		1752	1799	6	vols	"Account books, James Beekman"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001514867	
		MS		1870	1890	10	items	"Emile A. Hart papers, between 1870 and 1890?"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004228945	
		MS		1769	1785	1	vols	"Account book, [1785?]."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001583291	
		MS		1680	1680	1	item	"Document, 1680, June 22."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001451820	
		MS		1824	1829	7	items	"La Nouvelle Neustrie collection, 1824-1829, undated"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004680486	
		MS		1772	1773	1	items	"James Glean notarized document, 1773 February 3"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph003431907	
		MS		1762	1768	2	vols	"Letter book and waste book, 1762-1768."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001616011	
		MS		1847	1847	1	items	"George Alexander Braddick indenture, 1847 February 15"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004077113	
		MS		1756	1757	1	vols	"Letter book, 1756 May 10-1757 Jan. 24."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001708405	
		MS		1791	1832	535	items	"Jacob Le Roy papers, 1791-1832 (bulk 1810-1820)."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000924023	
		MS		xxx		xxx	xxx	Spanish-American Colonial Manuscripts	Newberry Library	Chicago	USA						https://www.newberry.org/node/478	
		MS		1645	1645	1	items	"Accounts   Of trade in various commodities including logwood, stockings & kersey (moth..."	Northamptonshire Archives	Northampton	UK						"Ref Th 1802
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/b87a326f-fb84-4024-9371-b73f9e4a9003"	
		P		1711	1980	868	vols	Robert Glass Cleland collection on Latin America	Occidental College	Los Angeles	USA							
		MS		1498	2000	14	series	House of Lords: Journal Office: Main Papers	Parliamentary Archives	London	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/browse/r/h/3eeacff7-c324-4de1-88db-3550038feb19	
		MS		1677	1897	6	feet	Barton family papers	Peabody Essex Museum	Rowley	USA						https://pem.as.atlas-sys.com/repositories/2/resources/124	
		MS		1684	1858	2.5	feet	Goodhue family papers	Peabody Essex Museum	Rowley	USA						https://pem.as.atlas-sys.com/repositories/2/resources/111	
		MS		1759	1830	2.5	feet	Waite family papers	Peabody Essex Museum	Rowley	USA							
		MS		1784	1823	1	boxes	Papers of Joseph Russell and William Russell	Peabody Essex Museum	Rowley	USA							
		MS		1720	1915	9	boxes	"Gardner Family Papers, 1720-1915, undated"	Peabody Essex Museum	Rowley	USA							
		MS		1780	1827	2	boxes	"Elijah and Jacob Sanderson Papers, 1780-1827, circa 1938, undated"	Peabody Essex Museum	Rowley	USA							
		MS		1801	1846	1	boxes	"William Hook Papers, 1801-1846, undated"	Peabody Essex Museum	Rowley	USA							
		MS		1891	1901	2.9	feet	Central American Expedition records	Peabody Museum	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/6/resources/4768	
		MS		1869	1918	6.75	feet	Charles P. Bowditch papers	Peabody Museum	Cambridge	USA						https://hollisarchives.lib.harvard.edu/repositories/6/resources/4763	
		MS		1844	1863	0.25	feet	James Henry Cunningham family papers	Penobscot Marine Museum	Searsport	USA						Not found in Archives Catalogue Link: https://penobscotmarinemuseum.org/museum-collections-database/	
		MS	"Real Acad Hist, Col Muñoz, a"	xxx		76	vols	"Manuscritos, Juan Bautista Muñoz"	Real Academia de la Historia	Madrid	Spain					RAH Catalogue	"Signatura 9/4779-4856
RAH Catalogue Link: https://www.rah.es/colecciones-de-manuscritos/ "	
		MS		xxx		8	vols	"Manuscritos, América"	Real Academia de la Historia	Madrid	Spain						Signatura 9/1917-1924	
		MS		xxx		32	vols	"Manuscritos, Memorias de Nueva España o Boturini"	Real Academia de la Historia	Madrid	Spain						Signatura 9/4857-4886 y 9/4930-4948	
		MS		xxx		xxx		Manuscritos de América	Real Biblioteca	Madrid	Spain						Catalogue Link: https://realbiblioteca.es/index.php/es/coleccionesrb	
		MS		1779	1779	1	items	List of ships and booty taken in the Bay of Honduras 'by Capt. Luttrel with ships from Jamaica'	Sheffield City Archives	Sheffield	UK						"Ref WWM/R/1/1862
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/8d69ce79-54e8-4c7c-9fd2-1eebed119d6e"	
		MS		1691	2018	1441	boxes	(Wesleyan) Methodist Missionary Society Archive	SOAS University of London	London	UK						http://archives.soas.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MMS 	
		MS	Somerset DD/WHh/d	1201	2000	59	boxes	HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century	Somerset Heritage Centre	Taunton	UK					Somerset Archive Catalogue	Link: https://somerset-cat.swheritage.org.uk/records/DD/WHh 	
		MS		1150	2003	510	boxes	"WYNDHAM OF ORCHARD WYNDHAM, mid 12th century-2003"	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/WY	
		MS		1849	1890	1	vols	Notes on the building of chapels. 1849-1890	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/D/N/wsc/7/9	
		MS		1715	1804	20	items	Miscellaneous papers. 1715-1804	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/GC/75	
		MS		1676	1676	1	items	Informations. 5 Jun 1676	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/Q/SR/130/30	
		MS		1701	1703	1	vols	"Papers of William Sealy, Bridgwater. 1701-1703"	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/X/PG/1	
		MS		1545	2004	153	boxes	"PAPERS OF THE DICKINSON FAMILY OF KINGWESTON, 1545-2004"	Somerset Heritage Centre	Taunton	UK						https://somerset-cat.swheritage.org.uk/records/DD/DN	
		MS		1912	1968	12.25	feet	"Papers, Mark F. Boyd"	State Library and Archives of Florida	Tallahassee	USA						Not found in Archives Catalogue Link: http://archivescatalog.info.florida.gov	
		MS		1801	1817	16	items	Henry Drinker Letters to Isaac Hicks	Swarthmore College	Swarthmore	USA						Catalogue Link: http://archives.tricolib.brynmawr.edu/repositories/7/resources/8705	
		MS		1736	1951	5	feet	"Document collection, Randolph Lee"	Town of Yorktown Museum	Yorktown Heights	USA						Catalogue not found	
		MS		xxx		xxx		Latin American Library Special Collections	Tulane University	New Orleans	USA						https://library.tulane.edu/locations/latin-american-library-special-collections	
		MS		1620	2016	xxx		Book A: Surveys	UK Hydrographic Office Archive	Taunton	UK						TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/967768e0-ca51-4635-ae14-deb758f3e1af	
		MS		1757	1853	xxx		Miscellaneous Papers (Remark Books)	UK Hydrographic Office Archive								TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/6d7ad44d-7bf7-4774-9d9d-0cbcbc13e9b0	
		MS		xxx		xxx		Bernath Memorial Collection	University of California	Santa Barbara	USA						https://www.library.ucsb.edu/special-collections/rare-books/bernath-memorial-collection	
		MS		1682	1968	0.5	feet	Bryant West Indies Ephemera Collection	University of Central Florida	Orlando	USA						https://scua.library.ucf.edu/repositories/4/resources/103	
		MS		1842	1843	1	item	"Personal journal of Captain Arthur Darley, R.N."	University of Delaware	Newark	USA						https://library.udel.edu/special/findaids/view?docId=ead/mss0097_0018.xml	
		MS		xxx		xxx		"Rare Books and Manuscripts, Latin America and Caribbean Collection"	University of Florida	Gainesville	USA						Catalogue Link: https://findingaids.uflib.ufl.edu/repositories/2/classifications/6	
		MS		1660	1804	9.5	feet	"Charles Townshend papers (1660-1804, bulk 1748-1767)"	University of Michigan	Ann Arbor	USA						https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1773tow?view=text	
		MS		1569	1758	200	items	Central American notarial documents : 1569-1758	University of Minnesota	Minneapolis	USA						https://primo.lib.umn.edu/permalink/f/1jg5c4a/UMN_ALMA21455086360001701	
		MS		1881	2000	12.8	feet	Records of YMCA international work in Latin America	University of Minnesota	Minneapolis	USA						https://archives.lib.umn.edu/repositories/7/resources/981	
		MS	"U Tex Lib, G19-d"	1500	1920	xxx		Nettie Lee Benson Latin American Collection	University of Texas	Austin	USA					"C. E. Castañeda, J. A. Dabbs, Guide, Cambridge 1939, Link: https://hdl.handle.net/2027/mdp.39015034712904 "	https://www.lib.utexas.edu/about/locations/benson	
		MS		1848	1906	0.77	feet	"Dashiell, Jeremiah Yellot, papers"	University of Texas	Austin	USA						https://legacy.lib.utexas.edu/taro/utcah/01833/cah-01833.html	
		MS		1874	1988	11	feet	Helen Madora Bisbee Papers	University of Texas	Austin	USA						http://legacy.lib.utexas.edu/taro/ttusw/00146/tsw-00146.html	
		MS		1808	1821	23	items	Louis-Michel Aury Papers	University of Texas	Austin	USA						http://legacy.lib.utexas.edu/taro/utcah/00809/cah-00809.html	
		MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	St. Augustine	Trinidad and Tobago						https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana	
		MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	Mona	Jamaica						https://www.mona.uwi.edu/library/west-indies-collection-0	
		MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	Cave Hill	Barbados						https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx	
		MS		1633	1633	1	items	Certificate	West Yorkshire Archive Service	Leeds	UK						"Ref WYL100/PO/6/X/1
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/3ab55b40-58ae-4c36-aac0-088ea937d165"	
		MS	Westminster d	1066	1900	xxx		Muniments of Westminster Abbey	Westminster Abbey	London	UK					Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "	
		P		1568	1949	128	feet	"Latin American pamphlet collection, 1568-1949 (inclusive), 1800-1880 (bulk)"	Yale University	New Haven	USA					Yale University Library	Link: https://hdl.handle.net/10079/bibid/614729	
		MS		1771	1959	9	vols	"Records of the Moravian Missions, 1771-1959 (inclusive)"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/4169488	
		MS		1576	1949	4	boxes	"Central America collection, 1576-1949 (inclusive)."	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/4816612	
		MS		1838	1871	1	boxes	"Aaron Columbus Burr papers, 1838-1871 (inclusive)"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/613852	
		MS		1826	1830	2	vols	Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/8013010	
		MS		1664	1857	7	boxes	"British Caribbean documents, 1664-1857 (bulk 1765-1825)"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/12766676	
		MS		1768	1774	2	items	"Accounts for slave sales at the Bay of Honduras, 1768-1774"	Yale University	New Haven	USA						https://hdl.handle.net/10079/bibid/11880621	
		MS																


Secondary Print: C1—30 / Online collections of archival material.
ID	NO			ALT ID	AUTHORS	EDITORS			V		TITLE				CITY	COUNTRY	FIRST				LINK	
				Adams		"R. E. W. Adams, M. J. MacLeod"			3		The Cambridge History of the Native Peoples of the Americas				Cambridge	UK	1996				https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-the-native-peoples-of-the-americas/4C505D0578405CDB65145628352F3B82	
				Alsedo	D. de Alsedo y Herrera				1		Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII				Madrid	Spain	1883				https://www.google.com/books/edition/Pirater%C3%ADas_y_agresiones_de_los_ingleses/MasMAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
				Alves		"A. Alves Carrara, E. Sánchez Santiró"			1		Guerra y fiscalidad en la Iberoamérica colonial				Mexico	Mexico	2012				file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	
				Ancona	E. Ancona				5		"Historia de Yucatan, desde la època más remota hasta nuestros dias"				Merida	Mexico	1878				"Google v 2,3,4: http://nrs.harvard.edu/urn-3:HUL.FIG:003871492"	
				Bancroft	H. H. Bancroft				3		History of Central America				San Francisco	USA	1882				"Google: http://nrs.harvard.edu/urn-3:HUL.FIG:002653988
LLMC: http://id.lib.harvard.edu/alma/99154275013303941/catalog"	
				Bechtold		"T. Bechtold, R. Mussak"			1		Handbook of Natural Colorants				Chippenham	UK	2009				"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
				Bolland 1	"O. N. Bolland, A. Shoman"				1		Land in Belize 1765—1871				Kingston	Jamaica	1975				file:///Users/angelnavidad/Downloads/land_in_belize_1765-1871_bolland_and_shoman.pdf	
				Bolland 2	O. N. Bolland				1		Formation of a Colonial Society				Baltimore	USA	1977				https://archive.org/details/formationofcolon0000boll	
				Bracamonte	P. Bracamonte y Sosa				1		"La conquista inconclusa de Yucatán : los mayas de la montaña, 1560-1680"				Mexico	Mexico	2001				"file:///Users/angelnavidad/Downloads/(Peninsular_%20Estudios)%20Pedro%20Bracamonte%20y%20Sosa%20-%20La%20conquista%20inconclusa%20de%20Yucatán_%20los%20mayas%20de%20la%20montaña,%201560-1680-CIESAS%20(2001).pdf"	
				Calderon	J. A. Calderón Quijano				1		Belice 1663 (?)-1821 				Seville	Spain	1944				http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/	
				Cardona	J. M. Cardona Amaya				1		Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 				Tegucigalpa	Honduras	2020				https://halshs.archives-ouvertes.fr/halshs-02540842/document	
				Chalmers	R. Chalmers				1		A History of Currency in the British Colonies				London	UK	1893				"Gale/Making Modern World: https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1 
HathiTrust: https://hdl.handle.net/2027/uc2.ark:/13960/t12n56b7g"	
				Chamberlain	R. S. Chamberlain				1		"The conquest and colonization of Yucatan, 1517-1550"				Washington	USA	1948				https://hdl.handle.net/2027/txu.059173008409431	
				Craton	M. Craton				1		Testing the chains: resistance to slavery in the British West Indies				Ithaca	USA	1982				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568	
				Dutt	R. Dutt				1		"Empire on Edge : The British Struggle for Order in Belize during Yucatan's Caste War, 1847—1901"				Cambridge	UK	2020				Intro: file:///Users/angelnavidad/Downloads/introduction.pdf	
				Dobson	N. Dobson				1		A History of Belize				London	UK	1973				xxx	
				Fancourt	C. S. J. Fancourt				1		"The history of Yucatan, from its discovery to the close of the seventeenth century"				London	UK	1854				"Gale/Sabin Americana: https://link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1
Google: https://www.google.com/books/edition/The_History_of_Yucatan/LOTgaZN4LPYC?hl=en&gbpv=1&printsec=frontcover"	
				Fernandez	C. Fernández Duro				6		Disquisiciones nauticas				Madrid	Spain	1876				http://id.lib.harvard.edu/alma/990048821940203941/catalog	
				Forbes	S. Forbes	E. W. Williams			1		The Baymen of Belize and how they wrested British Honduras from the Spaniards				London	UK	1914				https://ufdc.ufl.edu/UF00095345/00001	
				Gerhard	P. Gerhard				1		The Southeast Frontier of New Spain				London	UK	1979				file:///Users/angelnavidad/Downloads/Peter%20Gerhard%20-%20The%20Southeast%20Frontier%20of%20New%20Spain-University%20of%20Oklahoma%20Press%20(1993).pdf	
				Gibbs	A. R. Gibbs				1		"British Honduras: an historical and descriptive account of the colony from its settlement, 1670"				London	UK	1883				"Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02AD710C6198&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340
Google: file:///Users/angelnavidad/Downloads/British_Honduras.pdf"	
				Goslinga	C. C. Goslinga				1		The Dutch in the Caribbean				Assen	Netherlands	1971				"1971 edition: file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf
2017 edition: file:///Users/angelnavidad/Downloads/9781947372726_Goslinga.pdf"	
				Graham	E. Graham				1		Maya Christians and Their Churches in Sixteenth-Century Belize				Gainesville	USA	2011				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957	
				Guatemala DNB					1		Diccionario histórico biográfico de Guatemala				Guatemala	Guatemala	2004				http://www.fundacionhcg.org/libros/dhbg/	
				Hanna	M. G. Hanna				1		"Pirate Nests and the Rise of the British Empire, 1570-1740"				Chapel Hill	USA	2015				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/	
				Haring	C. H. Haring				1		Buccaneers in the West Indies in the Seventeenth Century				London	UK	1910				http://www.gutenberg.org/ebooks/19139	
				Harris	J. D. Harris				1		A summer on the borders of the Caribbean Sea				New York	USA	1860				"Gutenberg: http://www.gutenberg.org/files/53418/53418-h/53418-h.htm
HathiTrust: https://hdl.handle.net/2027/loc.ark:/13960/t6155db19"	
				Jarvis	M. J. Jarvis				1		"In the Eye of All Trade Bermuda, Bermudians, and the Maritime Atlantic World, 1680-1783"				Williamsburg	USA	2010				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/41104	
				Jones 1	G. D. Jones				1		Maya Resistance to Spanish Rule				Albuquerque	USA	1989				file:///Users/angelnavidad/Downloads/Grant%20D.%20Jones%20-%20Maya%20resistance%20to%20Spanish%20rule_%20Time%20and%20history%20on%20a%20colonial%20frontier-University%20of%20New%20Mexico%20Press%20(1989).pdf	
				Jones 2	G. D. Jones				1		Conquest of the Last Maya Kingdom				Stanford	USA	1998				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515	
				Juarros	D. Juarros				1		Compendio de la historia de la ciudad de Guatemala				Guatemala	Guatemala	1808				https://www.google.com/books/edition/Compendio_de_la_historia_de_la_ciudad_de/Uk4CAAAAYAAJ?hl=en&gbpv=0	
				Kupperman	K. O. Kupperman				1		"Providence Island, 1630-1641: the other Puritan colony"				Cambridge	UK	1993				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270	
				Lane	K. E. Lane				1		Pillaging the Empire				New York	USA	1998				file:///Users/angelnavidad/Downloads/9781315722269.pdf	
				Latimer	J. Latimer				1		Buccaneers of the Caribbean				Cambridge	USA	2009				https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172	
				MacLeod	M. J. MacLeod				1		"Spanish Central America: A Socioeconomic History, 1520–1720"				Berkeley	USA	1973				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035	
				Marley	D. F. Marley				1		Wars of the Americas				Santa Barbara	USA	1998				"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"	
				Martin 1	R. M. Martin				2		History of the West Indies				London	UK	1836				http://id.lib.harvard.edu/alma/990059826320203941/catalog	
				Martin 2	R. M. Martin				1		Colonial policy of the British Empire				London	UK	1837				https://link.gale.com/apps/doc/U0105544982/MOME?u=camb55135&sid=MOME&xid=f7c75b1e	
				McCusker	J. J. McCusker				1		"Money and exchange in Europe and America, 1600-1775: a handbook"				London	UK	1978				"file:///Users/angelnavidad/Downloads/John%20J.%20McCusker%20(auth.)%20-%20Money%20and%20Exchange%20in%20Europe%20and%20America,%201600–1775_%20A%20Handbook-Palgrave%20Macmillan%20UK%20(1978).pdf"	
				McKillop	H. McKillop				1		Salt: White Gold of the Ancient Maya				Gainesville	USA	2002				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17816	
				Molina	J. F. Molina Solís				3		Historia de Yucatán durante la dominación española				Merida	Mexico	1904				"Simurg v1: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/ 
Simurg v2: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/
Simurg v3: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/ "	
				Netherlands DNB					xxx		Biografisch Woordenboek van Nederland											
				Newton	A. P. Newton				1		The colonising activities of the English Puritans : the last phase of the Elizabethan struggle with Spain				London	UK	1914				http://www.llmcdigital.org.ezp-prod1.hul.harvard.edu/default.aspx?redir=31970	
				OED					xxx		Oxford English Dictionary											
				Oxford DNB					xxx		Dictionary of National Biography											
				Quezada	S. Quezada				1		La colonización de los mayas peninsulares				Merida	Mexico	2011				file:///Users/angelnavidad/Downloads/18-La%20colonización%20de%20los%20mayas%20peninsulares.pdf	
				RAE					xxx		Diccionario de la lengua española											
				RAH DNB					xxx		Diccionario Biográfico Español											
				Reed	N. Reed				1		The Caste War in Yucatan				Stanford	USA	1964				xxx	
				Ribot	M. T. Ribot				1		Belice: una historia olvidada				Mexico	Mexico	1993				https://books.openedition.org/cemca/319	
				Roberts	W. A. Roberts				1		"Sir Henry Morgan, buccaneer and governor"				New York	USA	1933				https://hdl.handle.net/2027/mdp.39015021845162	
				Roys 1	R. L. Roys				1		The Titles of Ebtun				Washington	USA	1939				https://hdl.handle.net/2027/txu.059173022901217	
				Roys 2	R. L. Roys				1		The Political Geography of the Yucatan Maya				Washington	USA	1957				https://hdl.handle.net/2027/uva.x000422247	
				Rugeley	T. Rugeley				1		"Rebellion Now and Forever : Mayas, Hispanics, and Caste War Violence in Yucatan : 1800—1880"				Stanford	USA	2009				"file:///Users/angelnavidad/Downloads/Terry%20Rugeley%20-%20Rebellion%20Now%20and%20Forever_%20Mayas,%20Hispanics,%20and%20Caste%20War%20Violence%20in%20Yucatan,%201800-1880%20(2009).pdf"	
				Southey	T. Southey				3		Chronological history of the West Indies				London	UK	1827				http://id.lib.harvard.edu/alma/990026569840203941/catalog	
				Squier	E. G. Squier				1		The states of Central America 				New York	USA	1858				"Gale/World Scholar: https://tinyurl.gale.com/tinyurl/DPB2g3 
Google: https://www.google.com/books/edition/The_States_of_Central_America/IHsaqv17bh8C?hl=en&gbpv=1&printsec=frontcover"	
				Toussaint		M. Toussaint			1		"Belice : textos de su historia, 1670-1981"				Mexico	Mexico	2004				xxx	
				UK BE		"R. Thomas, N. Dimsdale"			1		A millennium of UK data				London	UK	2016				https://www.bankofengland.co.uk/statistics/research-datasets	
				US BC					1		"Bicentennial Edition: Historical Statistics of the United States, Colonial Times to 1970"				Washington	USA	1949				https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html	
				US DNB					xxx		American National Biography											
				Winzerling	E. O. Winzerling				1		"The Beginning of British Honduras, 1506-1765"				New York	USA	1946				https://ufdc.ufl.edu/UF00099216/00001	
				Wombwell	J. A. Wombwell				1		Long War Against Piracy				Fort Leavenworth	USA	2010				https://www.hsdl.org/?view&did=23760	
				Yucatan DNB							Yucatán en el tiempo : enciclopedia alfabética										xxx	


Secondary Peer: C1—30 / Online collections of archival material.
ID	NO		TYPE	ALT ID	AUTHORS						JOURNAL	V	I	TITLE						YR				LINK	
			MS	Antochiw	M. Antochiw									ALEJANDRO JOSEPH DE GUELLE						2004				http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	
			MS	Evans	D. K. Evans									A Brief History of the Bay Islands						1999				http://aboututila.com/UtilaInfo/Historical/David-Evans-Brief-History.htm	
			MS	Ferguson	"M. Ferguson, P. Pelayo, N. Encalada"									A History of Slavery & Emancipation in Belize						2019				https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf	
			MS	Fischbeck	S. L. Fischbeck									Agricultural Terrace Productivity in the Maya Lowlands of Belize						2020				http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf	
			MS	Meide	C. Meide									A Plague of Ships						2002				https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf	
			T	Barke 12	G. Vasquez Barke									BACALAR EN EL SIGLO XVII						2012				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	
			T	Barke 16	G. Vasquez Barke									Los poderes y los hombres						2016				http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336	
			T	Bolland 75	O. N. Bolland									"The formation of a colonial society : Belize, from conquest to Crown Colony"						1975				file:///Users/angelnavidad/Downloads/content-hull_7151a.pdf	
			T	Bowett	A. Bowett									The english mahogany trade 1700-1793 						1996				file:///Users/angelnavidad/Downloads/288218482-3.pdf	
			T	Breuer	K. H. Breuer									"Colonies of happenstance: The english settlements in central america, 1525-1787 "						1993				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311	
