Calendar: Table 1
Date		Sp	Ot I	Ot II	War	Siege	Expulsion	Restriction	Trade	Sp	Ot I	Ot II
Sep Oct	1750	1750 Sp 663	1750 Ot I 663	1750 Ot II 663		Sp						
Nov Dec	1750	1750 Sp 664	1750 Ot I 664	1750 Ot II 664								
Jan Feb	1751	1751 Sp 665	1751 Ot I 665	1751 Ot II 665								
Mar Apr	1751	1751 Sp 666	1751 Ot I 666	1751 Ot II 666								
May Jun	1751	1751 Sp 667	1751 Ot I 667	1751 Ot II 667		Sp						
Jul Aug	1751	1751 Sp 668	1751 Ot I 668	1751 Ot II 668						Raid ?		
Sep Oct	1751	1751 Sp 669	1751 Ot I 669	1751 Ot II 669								
Nov Dec	1751	1751 Sp 670	1751 Ot I 670	1751 Ot II 670						Assault	Measles ?	
Jan Feb	1752	1752 Sp 671	1752 Ot I 671	1752 Ot II 671		Sp					Bay quit	
Mar Apr	1752	1752 Sp 672	1752 Ot I 672	1752 Ot II 672								
May Jun	1752	1752 Sp 673	1752 Ot I 673	1752 Ot II 673		Sp				Assault	Bay quit	
Jul Aug	1752	1752 Sp 674	1752 Ot I 674	1752 Ot II 674		Sp				Assault		
Sep Oct	1752	1752 Sp 675	1752 Ot I 675	1752 Ot II 675		Sp					Bracall assault	
Nov Dec	1752	1752 Sp 676	1752 Ot I 676	1752 Ot II 676		Sp						
Jan Feb	1753	1753 Sp 677	1753 Ot I 677	1753 Ot II 677		Sp				Assault		
Mar Apr	1753	1753 Sp 678	1753 Ot I 678	1753 Ot II 678		Sp						
May Jun	1753	1753 Sp 679	1753 Ot I 679	1753 Ot II 679		Sp				Assault		
Jul Aug	1753	1753 Sp 680	1753 Ot I 680	1753 Ot II 680		Sp						
Sep Oct	1753	1753 Sp 681	1753 Ot I 681	1753 Ot II 681								
Nov Dec	1753	1753 Sp 682	1753 Ot I 682	1753 Ot II 682								
Jan Feb	1754	1754 Sp 683	1754 Ot I 683	1754 Ot II 683		Sp						
Mar Apr	1754	1754 Sp 684	1754 Ot I 684	1754 Ot II 684		Sp						
May Jun	1754	1754 Sp 685	1754 Ot I 685	1754 Ot II 685		Sp	Sp			Assault		
Jul Aug	1754	1754 Sp 686	1754 Ot I 686	1754 Ot II 686			Sp					
Sep Oct	1754	1754 Sp 687	1754 Ot I 687	1754 Ot II 687		Sp	Sp					
Nov Dec	1754	1754 Sp 688	1754 Ot I 688	1754 Ot II 688			Sp					
Jan Feb	1755	1755 Sp 689	1755 Ot I 689	1755 Ot II 689			Sp					
Mar Apr	1755	1755 Sp 690	1755 Ot I 690	1755 Ot II 690								
May Jun	1755	1755 Sp 691	1755 Ot I 691	1755 Ot II 691								
Jul Aug	1755	1755 Sp 692	1755 Ot I 692	1755 Ot II 692								
Sep Oct	1755	1755 Sp 693	1755 Ot I 693	1755 Ot II 693								
Nov Dec	1755	1755 Sp 694	1755 Ot I 694	1755 Ot II 694								
Jan Feb	1756	1756 Sp 695	1756 Ot I 695	1756 Ot II 695								
Mar Apr	1756	1756 Sp 696	1756 Ot I 696	1756 Ot II 696		Fr						
May Jun	1756	1756 Sp 697	1756 Ot I 697	1756 Ot II 697		Fr Sp		Sp				
Jul Aug	1756	1756 Sp 698	1756 Ot I 698	1756 Ot II 698								
Sep Oct	1756	1756 Sp 699	1756 Ot I 699	1756 Ot II 699		Sp						
Nov Dec	1756	1756 Sp 700	1756 Ot I 700	1756 Ot II 700		Fr				Raid ?		
Jan Feb	1757	1757 Sp 701	1757 Ot I 701	1757 Ot II 701								
Mar Apr	1757	1757 Sp 702	1757 Ot I 702	1757 Ot II 702								
May Jun	1757	1757 Sp 703	1757 Ot I 703	1757 Ot II 703		Fr				Raid ?		
Jul Aug	1757	1757 Sp 704	1757 Ot I 704	1757 Ot II 704		Fr Sp						
Sep Oct	1757	1757 Sp 705	1757 Ot I 705	1757 Ot II 705						Assault ?		
Nov Dec	1757	1757 Sp 706	1757 Ot I 706	1757 Ot II 706								
Jan Feb	1758	1758 Sp 707	1758 Ot I 707	1758 Ot II 707								
Mar Apr	1758	1758 Sp 708	1758 Ot I 708	1758 Ot II 708								
May Jun	1758	1758 Sp 709	1758 Ot I 709	1758 Ot II 709								
Jul Aug	1758	1758 Sp 710	1758 Ot I 710	1758 Ot II 710								
Sep Oct	1758	1758 Sp 711	1758 Ot I 711	1758 Ot II 711								
Nov Dec	1758	1758 Sp 712	1758 Ot I 712	1758 Ot II 712								
Jan Feb	1759	1759 Sp 713	1759 Ot I 713	1759 Ot II 713		Sp					Panic	
Mar Apr	1759	1759 Sp 714	1759 Ot I 714	1759 Ot II 714							Panic	
May Jun	1759	1759 Sp 715	1759 Ot I 715	1759 Ot II 715							Panic	
Jul Aug	1759	1759 Sp 716	1759 Ot I 716	1759 Ot II 716								
Sep Oct	1759	1759 Sp 717	1759 Ot I 717	1759 Ot II 717						Raid ?		
Nov Dec	1759	1759 Sp 718	1759 Ot I 718	1759 Ot II 718								
Jan Feb	1760	1760 Sp 719	1760 Ot I 719	1760 Ot II 719								
Mar Apr	1760	1760 Sp 720	1760 Ot I 720	1760 Ot II 720								
May Jun	1760	1760 Sp 721	1760 Ot I 721	1760 Ot II 721								
Jul Aug	1760	1760 Sp 722	1760 Ot I 722	1760 Ot II 722								
Sep Oct	1760	1760 Sp 723	1760 Ot I 723	1760 Ot II 723								
Nov Dec	1760	1760 Sp 724	1760 Ot I 724	1760 Ot II 724								
Jan Feb	1761	1761 Sp 725	1761 Ot I 725	1761 Ot II 725								
Mar Apr	1761	1761 Sp 726	1761 Ot I 726	1761 Ot II 726								
May Jun	1761	1761 Sp 727	1761 Ot I 727	1761 Ot II 727								
Jul Aug	1761	1761 Sp 728	1761 Ot I 728	1761 Ot II 728								
Sep Oct	1761	1761 Sp 729	1761 Ot I 729	1761 Ot II 729								
Nov Dec	1761	1761 Sp 730	1761 Ot I 730	1761 Ot II 730								
Jan Feb	1762	1762 Sp 731	1762 Ot I 731	1762 Ot II 731	Fr Sp							
Mar Apr	1762	1762 Sp 732	1762 Ot I 732	1762 Ot II 732	Fr Sp							
May Jun	1762	1762 Sp 733	1762 Ot I 733	1762 Ot II 733	Fr Sp							
Jul Aug	1762	1762 Sp 734	1762 Ot I 734	1762 Ot II 734	Fr Sp							
Sep Oct	1762	1762 Sp 735	1762 Ot I 735	1762 Ot II 735	Fr Sp							
Nov Dec	1762	1762 Sp 736	1762 Ot I 736	1762 Ot II 736	Fr Sp							
Jan Feb	1763	1763 Sp 737	1763 Ot I 737	1763 Ot II 737	Fr Sp							
Mar Apr	1763	1763 Sp 738	1763 Ot I 738	1763 Ot II 738								
May Jun	1763	1763 Sp 739	1763 Ot I 739	1763 Ot II 739								
Jul Aug	1763	1763 Sp 740	1763 Ot I 740	1763 Ot II 740								
Sep Oct	1763	1763 Sp 741	1763 Ot I 741	1763 Ot II 741								
Nov Dec	1763	1763 Sp 742	1763 Ot I 742	1763 Ot II 742								
Jan Feb	1764	1764 Sp 743	1764 Ot I 743	1764 Ot II 743								
Mar Apr	1764	1764 Sp 744	1764 Ot I 744	1764 Ot II 744				Sp		Assault	Panic ?	
May Jun	1764	1764 Sp 745	1764 Ot I 745	1764 Ot II 745				Sp				
Jul Aug	1764	1764 Sp 746	1764 Ot I 746	1764 Ot II 746				Sp		Assault ?		
Sep Oct	1764	1764 Sp 747	1764 Ot I 747	1764 Ot II 747				Sp				
Nov Dec	1764	1764 Sp 748	1764 Ot I 748	1764 Ot II 748				Sp				
Jan Feb	1765	1765 Sp 749	1765 Ot I 749	1765 Ot II 749				Sp				
Mar Apr	1765	1765 Sp 750	1765 Ot I 750	1765 Ot II 750								
May Jun	1765	1765 Sp 751	1765 Ot I 751	1765 Ot II 751								
Jul Aug	1765	1765 Sp 752	1765 Ot I 752	1765 Ot II 752							Cook revolt	
Sep Oct	1765	1765 Sp 753	1765 Ot I 753	1765 Ot II 753							Cook revolt	
Nov Dec	1765	1765 Sp 754	1765 Ot I 754	1765 Ot II 754							Cook revolt	
Jan Feb	1766	1766 Sp 755	1766 Ot I 755	1766 Ot II 755								
Mar Apr	1766	1766 Sp 756	1766 Ot I 756	1766 Ot II 756							Depression	
May Jun	1766	1766 Sp 757	1766 Ot I 757	1766 Ot II 757							Depression	
Jul Aug	1766	1766 Sp 758	1766 Ot I 758	1766 Ot II 758							Depression	
Sep Oct	1766	1766 Sp 759	1766 Ot I 759	1766 Ot II 759							Depression	
Nov Dec	1766	1766 Sp 760	1766 Ot I 760	1766 Ot II 760								
Jan Feb	1767	1767 Sp 761	1767 Ot I 761	1767 Ot II 761							New R revolt	
Mar Apr	1767	1767 Sp 762	1767 Ot I 762	1767 Ot II 762						Assault	Maya assault Sp ?	
May Jun	1767	1767 Sp 763	1767 Ot I 763	1767 Ot II 763							Maya assault	
Jul Aug	1767	1767 Sp 764	1767 Ot I 764	1767 Ot II 764						Assault ?		
Sep Oct	1767	1767 Sp 765	1767 Ot I 765	1767 Ot II 765								
Nov Dec	1767	1767 Sp 766	1767 Ot I 766	1767 Ot II 766								
Jan Feb	1768	1768 Sp 767	1768 Ot I 767	1768 Ot II 767								
Mar Apr	1768	1768 Sp 768	1768 Ot I 768	1768 Ot II 768								
May Jun	1768	1768 Sp 769	1768 Ot I 769	1768 Ot II 769								
Jul Aug	1768	1768 Sp 770	1768 Ot I 770	1768 Ot II 770								
Sep Oct	1768	1768 Sp 771	1768 Ot I 771	1768 Ot II 771								
Nov Dec	1768	1768 Sp 772	1768 Ot I 772	1768 Ot II 772								
Jan Feb	1769	1769 Sp 773	1769 Ot I 773	1769 Ot II 773								
Mar Apr	1769	1769 Sp 774	1769 Ot I 774	1769 Ot II 774								
May Jun	1769	1769 Sp 775	1769 Ot I 775	1769 Ot II 775								
Jul Aug	1769	1769 Sp 776	1769 Ot I 776	1769 Ot II 776								
Sep Oct	1769	1769 Sp 777	1769 Ot I 777	1769 Ot II 777								
Nov Dec	1769	1769 Sp 778	1769 Ot I 778	1769 Ot II 778								
Jan Feb	1770	1770 Sp 779	1770 Ot I 779	1770 Ot II 779								
Mar Apr	1770	1770 Sp 780	1770 Ot I 780	1770 Ot II 780								
May Jun	1770	1770 Sp 781	1770 Ot I 781	1770 Ot II 781								
Jul Aug	1770	1770 Sp 782	1770 Ot I 782	1770 Ot II 782								
Sep Oct	1770	1770 Sp 783	1770 Ot I 783	1770 Ot II 783						Assault		
Nov Dec	1770	1770 Sp 784	1770 Ot I 784	1770 Ot II 784						Raid	Depression	French dispute
Jan Feb	1771	1771 Sp 785	1771 Ot I 785	1771 Ot II 785								
Mar Apr	1771	1771 Sp 786	1771 Ot I 786	1771 Ot II 786		Sp					Bay quit	Panic
May Jun	1771	1771 Sp 787	1771 Ot I 787	1771 Ot II 787								Panic
Jul Aug	1771	1771 Sp 788	1771 Ot I 788	1771 Ot II 788								Panic
Sep Oct	1771	1771 Sp 789	1771 Ot I 789	1771 Ot II 789							Famine	
Nov Dec	1771	1771 Sp 790	1771 Ot I 790	1771 Ot II 790							Famine	
Jan Feb	1772	1772 Sp 791	1772 Ot I 791	1772 Ot II 791		Sp						
Mar Apr	1772	1772 Sp 792	1772 Ot I 792	1772 Ot II 792								
May Jun	1772	1772 Sp 793	1772 Ot I 793	1772 Ot II 793								
Jul Aug	1772	1772 Sp 794	1772 Ot I 794	1772 Ot II 794								
Sep Oct	1772	1772 Sp 795	1772 Ot I 795	1772 Ot II 795								
Nov Dec	1772	1772 Sp 796	1772 Ot I 796	1772 Ot II 796							Thetis affair	
Jan Feb	1773	1773 Sp 797	1773 Ot I 797	1773 Ot II 797								
Mar Apr	1773	1773 Sp 798	1773 Ot I 798	1773 Ot II 798								
May Jun	1773	1773 Sp 799	1773 Ot I 799	1773 Ot II 799							Davidson revolt	
Jul Aug	1773	1773 Sp 800	1773 Ot I 800	1773 Ot II 800						Raid	Davidson revolt	
Sep Oct	1773	1773 Sp 801	1773 Ot I 801	1773 Ot II 801		Fr					Davidson revolt	Maya assault
Nov Dec	1773	1773 Sp 802	1773 Ot I 802	1773 Ot II 802								
Jan Feb	1774	1774 Sp 803	1774 Ot I 803	1774 Ot II 803								
Mar Apr	1774	1774 Sp 804	1774 Ot I 804	1774 Ot II 804								
May Jun	1774	1774 Sp 805	1774 Ot I 805	1774 Ot II 805								
Jul Aug	1774	1774 Sp 806	1774 Ot I 806	1774 Ot II 806								
Sep Oct	1774	1774 Sp 807	1774 Ot I 807	1774 Ot II 807								
Nov Dec	1774	1774 Sp 808	1774 Ot I 808	1774 Ot II 808								
Jan Feb	1775	1775 Sp 809	1775 Ot I 809	1775 Ot II 809						Assault		
Mar Apr	1775	1775 Sp 810	1775 Ot I 810	1775 Ot II 810	Am							
May Jun	1775	1775 Sp 811	1775 Ot I 811	1775 Ot II 811	Am							
Jul Aug	1775	1775 Sp 812	1775 Ot I 812	1775 Ot II 812	Am							
Sep Oct	1775	1775 Sp 813	1775 Ot I 813	1775 Ot II 813	Am							
Nov Dec	1775	1775 Sp 814	1775 Ot I 814	1775 Ot II 814	Am							
Jan Feb	1776	1776 Sp 815	1776 Ot I 815	1776 Ot II 815	Am							
Mar Apr	1776	1776 Sp 816	1776 Ot I 816	1776 Ot II 816	Am	Am						
May Jun	1776	1776 Sp 817	1776 Ot I 817	1776 Ot II 817	Am	Am						
Jul Aug	1776	1776 Sp 818	1776 Ot I 818	1776 Ot II 818	Am							
Sep Oct	1776	1776 Sp 819	1776 Ot I 819	1776 Ot II 819	Am							
Nov Dec	1776	1776 Sp 820	1776 Ot I 820	1776 Ot II 820	Am							
Jan Feb	1777	1777 Sp 821	1777 Ot I 821	1777 Ot II 821	Am	Am						
Mar Apr	1777	1777 Sp 822	1777 Ot I 822	1777 Ot II 822	Am	Am					Fire	
May Jun	1777	1777 Sp 823	1777 Ot I 823	1777 Ot II 823	Am	Am						
Jul Aug	1777	1777 Sp 824	1777 Ot I 824	1777 Ot II 824	Am	Am						
Sep Oct	1777	1777 Sp 825	1777 Ot I 825	1777 Ot II 825	Am	Am					Washington affair	
Nov Dec	1777	1777 Sp 826	1777 Ot I 826	1777 Ot II 826	Am	Am						
Jan Feb	1778	1778 Sp 827	1778 Ot I 827	1778 Ot II 827	Am	Am					Fire	
Mar Apr	1778	1778 Sp 828	1778 Ot I 828	1778 Ot II 828	Am	Am					Depression	
May Jun	1778	1778 Sp 829	1778 Ot I 829	1778 Ot II 829	Am						Depression	
Jul Aug	1778	1778 Sp 830	1778 Ot I 830	1778 Ot II 830	Am							
Sep Oct	1778	1778 Sp 831	1778 Ot I 831	1778 Ot II 831	Am							
Nov Dec	1778	1778 Sp 832	1778 Ot I 832	1778 Ot II 832	Am	Am						
Jan Feb	1779	1779 Sp 833	1779 Ot I 833	1779 Ot II 833	Am						Depression ?	
Mar Apr	1779	1779 Sp 834	1779 Ot I 834	1779 Ot II 834	Am							
May Jun	1779	1779 Sp 835	1779 Ot I 835	1779 Ot II 835	Am Sp Fr					Assault		
Jul Aug	1779	1779 Sp 836	1779 Ot I 836	1779 Ot II 836	Am Sp Fr							
Sep Oct	1779	1779 Sp 837	1779 Ot I 837	1779 Ot II 837	Am Sp Fr						Bay charge Omoa	
Nov Dec	1779	1779 Sp 838	1779 Ot I 838	1779 Ot II 838	Am Sp Fr	Fr						
Jan Feb	1780	1780 Sp 839	1780 Ot I 839	1780 Ot II 839	Am Sp Fr						Distemper ?	
Mar Apr	1780	1780 Sp 840	1780 Ot I 840	1780 Ot II 840	Am Sp Fr							
May Jun	1780	1780 Sp 841	1780 Ot I 841	1780 Ot II 841	Am Sp Fr							
Jul Aug	1780	1780 Sp 842	1780 Ot I 842	1780 Ot II 842	Am Sp Fr							
Sep Oct	1780	1780 Sp 843	1780 Ot I 843	1780 Ot II 843	Am Sp Fr							
Nov Dec	1780	1780 Sp 844	1780 Ot I 844	1780 Ot II 844	Am Sp Fr							
Jan Feb	1781	1781 Sp 845	1781 Ot I 845	1781 Ot II 845	Am Sp Fr							
Mar Apr	1781	1781 Sp 846	1781 Ot I 846	1781 Ot II 846	Am Sp Fr					Assault		
May Jun	1781	1781 Sp 847	1781 Ot I 847	1781 Ot II 847	Am Sp Fr						Bay charge St. Pedro Snelo	
Jul Aug	1781	1781 Sp 848	1781 Ot I 848	1781 Ot II 848	Am Sp Fr							
Sep Oct	1781	1781 Sp 849	1781 Ot I 849	1781 Ot II 849	Am Sp Fr							
Nov Dec	1781	1781 Sp 850	1781 Ot I 850	1781 Ot II 850	Am Sp Fr							
Jan Feb	1782	1782 Sp 851	1782 Ot I 851	1782 Ot II 851	Am Sp Fr							
Mar Apr	1782	1782 Sp 852	1782 Ot I 852	1782 Ot II 852	Am Sp Fr							
May Jun	1782	1782 Sp 853	1782 Ot I 853	1782 Ot II 853	Am Sp Fr							
Jul Aug	1782	1782 Sp 854	1782 Ot I 854	1782 Ot II 854	Am Sp Fr							
Sep Oct	1782	1782 Sp 855	1782 Ot I 855	1782 Ot II 855	Am Sp Fr							
Nov Dec	1782	1782 Sp 856	1782 Ot I 856	1782 Ot II 856	Am Sp Fr	Sp						
Jan Feb	1783	1783 Sp 857	1783 Ot I 857	1783 Ot II 857	Am Sp Fr							
Mar Apr	1783	1783 Sp 858	1783 Ot I 858	1783 Ot II 858	Am Sp Fr							
May Jun	1783	1783 Sp 859	1783 Ot I 859	1783 Ot II 859	Am Sp Fr							
Jul Aug	1783	1783 Sp 860	1783 Ot I 860	1783 Ot II 860	Am Sp Fr							
Sep Oct	1783	1783 Sp 861	1783 Ot I 861	1783 Ot II 861								
Nov Dec	1783	1783 Sp 862	1783 Ot I 862	1783 Ot II 862								
Jan Feb	1784	1784 Sp 863	1784 Ot I 863	1784 Ot II 863								
Mar Apr	1784	1784 Sp 864	1784 Ot I 864	1784 Ot II 864								
May Jun	1784	1784 Sp 865	1784 Ot I 865	1784 Ot II 865							Distemper	Flood
Jul Aug	1784	1784 Sp 866	1784 Ot I 866	1784 Ot II 866							Distemper	
Sep Oct	1784	1784 Sp 867	1784 Ot I 867	1784 Ot II 867							Distemper	
Nov Dec	1784	1784 Sp 868	1784 Ot I 868	1784 Ot II 868								
Jan Feb	1785	1785 Sp 869	1785 Ot I 869	1785 Ot II 869								
Mar Apr	1785	1785 Sp 870	1785 Ot I 870	1785 Ot II 870								
May Jun	1785	1785 Sp 871	1785 Ot I 871	1785 Ot II 871								
Jul Aug	1785	1785 Sp 872	1785 Ot I 872	1785 Ot II 872							Panic	
Sep Oct	1785	1785 Sp 873	1785 Ot I 873	1785 Ot II 873								
Nov Dec	1785	1785 Sp 874	1785 Ot I 874	1785 Ot II 874								
Jan Feb	1786	1786 Sp 875	1786 Ot I 875	1786 Ot II 875								
Mar Apr	1786	1786 Sp 876	1786 Ot I 876	1786 Ot II 876								
May Jun	1786	1786 Sp 877	1786 Ot I 877	1786 Ot II 877							Old R revolt	
Jul Aug	1786	1786 Sp 878	1786 Ot I 878	1786 Ot II 878							Old R revolt	
Sep Oct	1786	1786 Sp 879	1786 Ot I 879	1786 Ot II 879								
Nov Dec	1786	1786 Sp 880	1786 Ot I 880	1786 Ot II 880							Old R revolt ?	
Jan Feb	1787	1787 Sp 881	1787 Ot I 881	1787 Ot II 881								
Mar Apr	1787	1787 Sp 882	1787 Ot I 882	1787 Ot II 882								
May Jun	1787	1787 Sp 883	1787 Ot I 883	1787 Ot II 883							Despard affair	
Jul Aug	1787	1787 Sp 884	1787 Ot I 884	1787 Ot II 884							Despard affair	Depression
Sep Oct	1787	1787 Sp 885	1787 Ot I 885	1787 Ot II 885								
Nov Dec	1787	1787 Sp 886	1787 Ot I 886	1787 Ot II 886								
Jan Feb	1788	1788 Sp 887	1788 Ot I 887	1788 Ot II 887							Measles ?	
Mar Apr	1788	1788 Sp 888	1788 Ot I 888	1788 Ot II 888								
May Jun	1788	1788 Sp 889	1788 Ot I 889	1788 Ot II 889								
Jul Aug	1788	1788 Sp 890	1788 Ot I 890	1788 Ot II 890								
Sep Oct	1788	1788 Sp 891	1788 Ot I 891	1788 Ot II 891								
Nov Dec	1788	1788 Sp 892	1788 Ot I 892	1788 Ot II 892								
Jan Feb	1789	1789 Sp 893	1789 Ot I 893	1789 Ot II 893								
Mar Apr	1789	1789 Sp 894	1789 Ot I 894	1789 Ot II 894							Glut	
May Jun	1789	1789 Sp 895	1789 Ot I 895	1789 Ot II 895				Sp		Assault	Glut	
Jul Aug	1789	1789 Sp 896	1789 Ot I 896	1789 Ot II 896				Sp				
Sep Oct	1789	1789 Sp 897	1789 Ot I 897	1789 Ot II 897				Sp				
Nov Dec	1789	1789 Sp 898	1789 Ot I 898	1789 Ot II 898							Depression	
Jan Feb	1790	1790 Sp 899	1790 Ot I 899	1790 Ot II 899								
Mar Apr	1790	1790 Sp 900	1790 Ot I 900	1790 Ot II 900								
May Jun	1790	1790 Sp 901	1790 Ot I 901	1790 Ot II 901								
Jul Aug	1790	1790 Sp 902	1790 Ot I 902	1790 Ot II 902								
Sep Oct	1790	1790 Sp 903	1790 Ot I 903	1790 Ot II 903								
Nov Dec	1790	1790 Sp 904	1790 Ot I 904	1790 Ot II 904							Panic ?	
Jan Feb	1791	1791 Sp 905	1791 Ot I 905	1791 Ot II 905								
Mar Apr	1791	1791 Sp 906	1791 Ot I 906	1791 Ot II 906								
May Jun	1791	1791 Sp 907	1791 Ot I 907	1791 Ot II 907								
Jul Aug	1791	1791 Sp 908	1791 Ot I 908	1791 Ot II 908							Old R revolt ?	
Sep Oct	1791	1791 Sp 909	1791 Ot I 909	1791 Ot II 909								
Nov Dec	1791	1791 Sp 910	1791 Ot I 910	1791 Ot II 910								
Jan Feb	1792	1792 Sp 911	1792 Ot I 911	1792 Ot II 911								
Mar Apr	1792	1792 Sp 912	1792 Ot I 912	1792 Ot II 912								
May Jun	1792	1792 Sp 913	1792 Ot I 913	1792 Ot II 913								
Jul Aug	1792	1792 Sp 914	1792 Ot I 914	1792 Ot II 914							Flood	
Sep Oct	1792	1792 Sp 915	1792 Ot I 915	1792 Ot II 915								
Nov Dec	1792	1792 Sp 916	1792 Ot I 916	1792 Ot II 916								
Jan Feb	1793	1793 Sp 917	1793 Ot I 917	1793 Ot II 917								
Mar Apr	1793	1793 Sp 918	1793 Ot I 918	1793 Ot II 918								
May Jun	1793	1793 Sp 919	1793 Ot I 919	1793 Ot II 919		Fr						
Jul Aug	1793	1793 Sp 920	1793 Ot I 920	1793 Ot II 920								
Sep Oct	1793	1793 Sp 921	1793 Ot I 921	1793 Ot II 921								
Nov Dec	1793	1793 Sp 922	1793 Ot I 922	1793 Ot II 922							Maya assault	
Jan Feb	1794	1794 Sp 923	1794 Ot I 923	1794 Ot II 923								
Mar Apr	1794	1794 Sp 924	1794 Ot I 924	1794 Ot II 924								
May Jun	1794	1794 Sp 925	1794 Ot I 925	1794 Ot II 925								
Jul Aug	1794	1794 Sp 926	1794 Ot I 926	1794 Ot II 926		Am						
Sep Oct	1794	1794 Sp 927	1794 Ot I 927	1794 Ot II 927								
Nov Dec	1794	1794 Sp 928	1794 Ot I 928	1794 Ot II 928		Fr						
Jan Feb	1795	1795 Sp 929	1795 Ot I 929	1795 Ot II 929								
Mar Apr	1795	1795 Sp 930	1795 Ot I 930	1795 Ot II 930								
May Jun	1795	1795 Sp 931	1795 Ot I 931	1795 Ot II 931		Am Sp Priv						
Jul Aug	1795	1795 Sp 932	1795 Ot I 932	1795 Ot II 932								
Sep Oct	1795	1795 Sp 933	1795 Ot I 933	1795 Ot II 933								
Nov Dec	1795	1795 Sp 934	1795 Ot I 934	1795 Ot II 934								
Jan Feb	1796	1796 Sp 935	1796 Ot I 935	1796 Ot II 935		Priv						
Mar Apr	1796	1796 Sp 936	1796 Ot I 936	1796 Ot II 936		Fr						
May Jun	1796	1796 Sp 937	1796 Ot I 937	1796 Ot II 937								
Jul Aug	1796	1796 Sp 938	1796 Ot I 938	1796 Ot II 938	Fr Sp	Fr						
Sep Oct	1796	1796 Sp 939	1796 Ot I 939	1796 Ot II 939	Fr Sp	Am						
Nov Dec	1796	1796 Sp 940	1796 Ot I 940	1796 Ot II 940	Fr Sp	Priv					Panic ?	
Jan Feb	1797	1797 Sp 941	1797 Ot I 941	1797 Ot II 941	Fr Sp							
Mar Apr	1797	1797 Sp 942	1797 Ot I 942	1797 Ot II 942	Fr Sp							Depression
May Jun	1797	1797 Sp 943	1797 Ot I 943	1797 Ot II 943	Fr Sp	Fr						Depression
Jul Aug	1797	1797 Sp 944	1797 Ot I 944	1797 Ot II 944	Fr Sp						Bay charge Truxillo	
Sep Oct	1797	1797 Sp 945	1797 Ot I 945	1797 Ot II 945	Fr Sp						Yellow fever	
Nov Dec	1797	1797 Sp 946	1797 Ot I 946	1797 Ot II 946	Fr Sp	Sp						
Jan Feb	1798	1798 Sp 947	1798 Ot I 947	1798 Ot II 947	Fr Sp						Panic ?	
Mar Apr	1798	1798 Sp 948	1798 Ot I 948	1798 Ot II 948	Fr Sp							
May Jun	1798	1798 Sp 949	1798 Ot I 949	1798 Ot II 949	Fr Sp							
Jul Aug	1798	1798 Sp 950	1798 Ot I 950	1798 Ot II 950	Fr Sp							
Sep Oct	1798	1798 Sp 951	1798 Ot I 951	1798 Ot II 951	Fr Sp					Assault		
Nov Dec	1798	1798 Sp 952	1798 Ot I 952	1798 Ot II 952	Fr Sp							
Jan Feb	1799	1799 Sp 953	1799 Ot I 953	1799 Ot II 953	Fr Sp							
Mar Apr	1799	1799 Sp 954	1799 Ot I 954	1799 Ot II 954	Fr Sp			Bay				
May Jun	1799	1799 Sp 955	1799 Ot I 955	1799 Ot II 955	Fr Sp			Bay				
Jul Aug	1799	1799 Sp 956	1799 Ot I 956	1799 Ot II 956	Fr Sp			Bay				
Sep Oct	1799	1799 Sp 957	1799 Ot I 957	1799 Ot II 957	Fr Sp			Bay				
Nov Dec	1799	1799 Sp 958	1799 Ot I 958	1799 Ot II 958	Fr Sp			Bay				
Jan Feb	1800	1800 Sp 959	1800 Ot I 959	1800 Ot II 959	Fr Sp			Bay				
Mar Apr	1800	1800 Sp 960	1800 Ot I 960	1800 Ot II 960	Fr Sp			Bay				
May Jun	1800	1800 Sp 961	1800 Ot I 961	1800 Ot II 961	Fr Sp			Bay				
Jul Aug	1800	1800 Sp 962	1800 Ot I 962	1800 Ot II 962	Fr Sp			Bay				
Sep Oct	1800	1800 Sp 963	1800 Ot I 963	1800 Ot II 963	Fr Sp			Bay				
Nov Dec	1800	1800 Sp 964	1800 Ot I 964	1800 Ot II 964	Fr Sp			Bay				
Jan Feb	1801	1801 Sp 965	1801 Ot I 965	1801 Ot II 965	Fr Sp			Bay				
Mar Apr	1801	1801 Sp 966	1801 Ot I 966	1801 Ot II 966	Fr Sp			Bay				
May Jun	1801	1801 Sp 967	1801 Ot I 967	1801 Ot II 967	Fr Sp							
Jul Aug	1801	1801 Sp 968	1801 Ot I 968	1801 Ot II 968	Fr Sp							
Sep Oct	1801	1801 Sp 969	1801 Ot I 969	1801 Ot II 969	Fr Sp							
Nov Dec	1801	1801 Sp 970	1801 Ot I 970	1801 Ot II 970	Fr Sp							
Jan Feb	1802	1802 Sp 971	1802 Ot I 971	1802 Ot II 971	Fr Sp							
Mar Apr	1802	1802 Sp 972	1802 Ot I 972	1802 Ot II 972								
May Jun	1802	1802 Sp 973	1802 Ot I 973	1802 Ot II 973								
Jul Aug	1802	1802 Sp 974	1802 Ot I 974	1802 Ot II 974								
Sep Oct	1802	1802 Sp 975	1802 Ot I 975	1802 Ot II 975								
Nov Dec	1802	1802 Sp 976	1802 Ot I 976	1802 Ot II 976				Sp				
Jan Feb	1803	1803 Sp 977	1803 Ot I 977	1803 Ot II 977				Sp				
Mar Apr	1803	1803 Sp 978	1803 Ot I 978	1803 Ot II 978				Sp				
