Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
E 			1	Hos 4	8 Sep 1754		Joint September Assault	One Sp naval campaign against Settlement	Old	"Don Melchor de Navarrete of Yuc, Joseph de Palma de Mar of Guat, Juan de las Llanas of Havannah c 18 Craft"				"93 Baymen, 23 Neg captured"		"1 Frig, 9 craft taken"	huts or works and Log burnt			xxx			
E 		1			14 May 1755	14 May 1755	Dedicated defence force in Hon	"Baymen ask Gov Knowles of Jam for a detachment of 40 soldiers for their protection, to be paid for by sale of logwood at Jam at Baymen’s risk, after which Gov Knowles, on Council of Jam authorisation, orders detachment of 20 soldiers to Hon"	"Old or St. George’s, Spanish Town"		"27 Baymen inc William Canoon, George Hewin, Charles Jeffreys, John Johnes"	Gov Knowles / Lieut. Lawrie / Lieut. Hodgson / Capt. Lowes								"CO 137/60 [13 Apr, 14 May 1755]"	Burdon 1 p81	"Orders from Capt. Hodgson, Black River, to Lieut. Lawrie. Sir, You will repair forthwith on board the Snow, Commanded by Captain Lowes, bound for the River Belese, in the Bay of Honduras, with the Detachment from my Company under your Command, which, disembarking upon your Arrival, you will post wherever the Chief of their People there shall think best for Their Security. And as is it thought proper, that the Soldiers should go apparel'd like Baymen in Frocks and Trowsers in order to give as little Umbrage as possible to the Spaniards, ... You will, of course, enforce every Regulation made, or to be made, among the Inhabitants of the Bay, that is conducive to the Unanimity, Commerce and Benefit of the whole /Burdon 1 p82 /CO 137/60 [14 May 1755]"	
E 		1			24 May 1756		Gov. Knowles Demolishes Bay Fort	Gov Knowles of Jamaica demolishes forts per Treaty	Old							min 2 vessels taken min	"fort demolished, 18 cannon sunk [Knowles ordered?]"		"New-York Mercury 206 p2
New-York Mercury 224 p3"				
E 		1			1 Jan 1757	31 Dec 1757	Merchant houses in Hon	"First record of ownership of 12 Merchant Vessels by Shoremen, and so probably by Baymen"	Mosquito Shore		Robert Hodgson									CO 123/1	Burdon I p85		
E 				Hos 4	1 Jul 1757		Siege of New R	"Sp surprise one craft of Capt. French [of NY?], after having blockaded New R and imprisoned several Baymen "	New	numb Sp Craft	Capt. French			sev Baymen in New imprisoned		min 1 craft forced to unload half cargo to escape			Boston Evening-Post 1145 p4			"c 1756 or 1757 Sp Privateers Phillipe López de la Flor fm Trujillo and Juan de Sosa = Juan Francisco Javier de Sosa y Castillo imprison 40 Eng near New R, mainly or all Neg slaves / Prisoners carried to Bac, with translation provided by Alejandro Joseph de Güelle /v Barke 16 181–182 /MEXICO,3099,E.6 /MEXICO,894,E.3"	
E 			1	Hos 4	1 Sep 1757		September Destruction	One Sp military campaign against Settlement						carried off about 60 Neg and some whites		destroyed everything they came across [so flats too?]	"destroyed the wood, houses and everything they came across"		London Chronicle 145 p6				
E 		1			1 Jan 1758	30 Dec 1758		Sp order building of 3 forts near Hon	Omoa											"MEXICO,3099,E.2 ff 11r–39r"	Barke 16 178	Unclear whether order is fulfilled / Forts = San Fernando in Omoa / 2 other forts on Río Matina [Sp Hon] /v Barke 16	
E 				Hos 4	10 Nov 1758			Yucatan [and Port Mahoo] patrol Settlement [enforce evacuation?]		30 PA at Bacalar fm Campeachy Port Maho					evac c 10 Nov 58 to < 20 Jul 1759				"Boston Evening-Post 1221 p2
Boston Evening-Post 1233 p1
Boston Evening-Post 1241 p2"				
E 			1	Hos 4	1 Sep 1759		Barbarities at Carpenter’s	One Sp campaign against Settlement	Carpenter’s R					carried away many settlers ?					"London Chronicle 450 p8
Boston Evening-Post 1276 p3"				
E 			1	Hos 4	21 Oct 1759		Capt. Owens’s Feat	One Sp campaign against Settlement		near 200 men	Capt. Owens w 50 Britons			"31 Brit subjects, 30 Neg imprisoned / later lib by Owens"		3 loaded flats seized / later liberated by Owens			Boston Evening-Post 1276 p3				
E 			1	Hos 4	25 Dec 1759	30 Jan 1760	Christmas Assault	One Yucatan naval campaign against Settlement	Old	4 Capt. sent by Gov. of Merida w great numb PA w over 150 men				a number of white and Neg imprisoned	evac bw May–Nov 60 to Apr 63	sev loaded flats taken	houses destroyed		New-York Mercury 394 p3	"MEXICO,3099 -- a 5 dic 1760, a 17 jun, 25 jun 1761, a 29 dic 1763"	"Calderon 193 no 1, 4
Calderon 200 no 29"	"c 1764 St. George’s Caye settled w ""76 casas y almacenes de madera, las mas particulares de rancheros acendados"" /v Barke 16 227 /Spain CU, v 4, map no 13

FERNANDEZ DE HEREDIA, GOBERNADOR DE YUCATAN, A ARRIAGA, EN MERIDA A 5-12-760. ""...pongo en noticia de V. S., como hoy día de la fecha regresó dió fondo en este real con las piraguas del Rey, el Capitán Nicolás Perera sin traer cosa alguna, ni guardar los bastimentos que se le mandaban [en carta de José de Araoz, Comandante de Bacalar, a Heredia, en Bacalar a 10 abril 1760], diciendo se vuelve, porque ya Balis y Baraderos están despoblados..."" /via Calderon 193 no 1 /MEXICO,3099--a 5 dic 1760

[C]arta de José Rosado, Comandante de Bacalar a [José] Crespo, en Bacalar 17-6-761. ... ""Con el motivo de haber mandado el señor Mariscal de Campo D. Alonso Fernández de Heredia, siendo Gobernador y Capitán General, que José del Pino saliese a reconocer los ríos de Balis y Nuebo, y notase las embarcaciones enemigas que hubiese en dichos ríos, ha vuelto y declara no haber embarcación ninguna ni en dichos parajes ni en el mar. ..."" /via Calderon 193 no 4 /MEXICO,3099 -- a 17 jun, 25 jun 1761

REMIREZ DE ESTENOZ A JOSE MAUD, EN MERIDA A 29-12-763. ... habiendo tomado posesión [del gobierno de Yucatan] el 24 del mismo [diciembre 1763], acabé de instruirme en la llegada de V. M. en el mes de Abril de este año al río de Valis con 5 embarcaciones, y que inmediatamente se extendió la gente hasta el río Hondo, ..."" /via Calderon 200 no 29 /MEXICO,3099 -- a 29 dic 1763"	
E 				Hos 4	6 Apr 1761	30 Jun 1761	Flota Sails for Bay	xxx	Cadiz	"8 Ships 2 Frigates 8 Chebecs = 4,000 men"										"MEXICO,3099 -- a 17 jun, 25 jun 1761"	Calderon 193 no 4	"[C]arta de José Rosado, Comandante de Bacalar a [José] Crespo, en Bacalar 17-6-761. ... ""Con el motivo de haber mandado el señor Mariscal de Campo D. Alonso Fernández de Heredia, siendo Gobernador y Capitán General, que José del Pino saliese a reconocer los ríos de Balis y Nuebo, y notase las embarcaciones enemigas que hubiese en dichos ríos, ha vuelto y declara no haber embarcación ninguna ni en dichos parajes ni en el mar. ..."" /via Calderon 193 no 4 /MEXICO,3099 -- a 17 jun, 25 jun 1761"	
E 		1			3 Nov 1761	30 Dec 1761	Jacinto Canek Rebellion	"Jacinto Canek leads Maya residents of Cisteil against Sp, inc Battle of Cisteil"	Cisteil [Yuc]	Capt Tiburcio Cosgaya / Estanislao del Puerto/ Cristóbal Calderón 500 men	"Jacinto Canek 1,500 men"											Possible cause for refugees to Hon /v Bolland 75 p49	
E 		1			10 Feb 1763	10 Feb 1763	Treaty of Paris														"Burdon 1 p87
Coxe v 3 xxx"	"See map MP-MEXICO,198 /MEXICO,3099 [Remírez de Estenoz a Arriaga a 12 mar 1764]
On Hon logwood talks, see AHN, Estado 2848 [Negociaciones entre Conde de Fuentes y Wallz, Londres a 23 sep 1760 / Respuesta del Rey ... Whitehall a 26 sep 1760] /v Barke 16 152 / On later developments see Bib Real, DIG/II/2823 ff 235r–252r [Dictamen de Rojas y Contreras ... Madrid a 27 jun 1767] /v Barke 16 153"	
E 				Crs 5	23 Dec 1763			"Sp restrict logging in northern rivers, after which Adm. Burnaby restores Baymen"	"New, Hondo"	Gov of Yuc Ramirez de Estenoz / Pres of Council of Indies xxx Arriaga	Adm. William Burnaby / Joseph Maud / Lt. Robert Hodgson / Gov of Jam William Henry Lyttelton / King				evac Hondo on 4 Feb 64 / evac all except Old on 13 Feb 64 / restored 5 Mar 65				"Boston Evening-Post 1498 p2
Boston News-Letter 3146 p2
London Chronicle 1170 p6
New-York Mercury 669 p2
New-York Mercury 673 p2
Boston Evening-Post 1545 p2
Boston Gazette 530 Supplement p1
Boston Evening-Post 1553 p2
New-York Mercury 715 p2"	"CO 137/61
SPF Spain 167
Hon Alm [1828—1764 Memorial of Baymen in Council]
Adm 1/238
SPF Spain 177 [15 May 1766, Petition of Honduras Settlers to George III]
MEXICO,3099 -- a 29 dic 1763, a 12 mar 1764"	"Burdon I p88–95, 111
Calderon 199 no 28, 200 no 29"	"REMIREZ DE ESTENOZ A ARRIAGA, EN MERIDA A 12-3-764. ... ""les concedí competente término para que sacasen todos sus efectos, que aunque le querían entretener largo tiempo, se logró sin estrépito, y con la mayor urbanidad el que el día 28-2-764, evacuasen enteramente dicho río Hondo, retirándose al de Walix..."" /via Calderon 199 no 28 /MEXICO,3099

REMIREZ DE ESTENOZ A JOSE MAUD, EN MERIDA A 29-12-763. ... ""aunque escribió V. M. a mis antecesores, diciendo venía para el corte de palo en virtud de los Tratados de Paz [firmado en París el día 10-2-763], no se presentó la Real Cédula que mi Soberano expidió a este fin, ni la licencia de el Rey de Inglaterra para el expresado efecto. Enterado de esto, obligan a la representación que tengo por el Rey mi Señor, el la Real Confianza del mando General de esta provincia, y de dar entero cumplimiento al referido artículo 17 del Tratado Definitivo de Paz, como llevo expresado, que destaque al Comandante del Fuerte de Bacalar Don José Rosado con ésta, requiriendo a V. M. para que hecho cargo de la falta de instrumentos para dicha introducción, y de haberse extendido cogiendo frutos como en país propio, sin esperar a señalamiento de límites, con las solemnidades correspondientes que afianzaran su establecimiento, se sirva dar con la mayor prontitud las órdenes correspondientes, para que todos los de su comitiva que se hallaren en Río Hondo, se retiren al de Valis, y esperar se me presenten cn la referida R. C. que el Rey mi Amo despachó a este fin, y con órdenes del Rey de Inglaterra para este efecto, ...” /via Calderon 200 no 29 /MEXICO,3099 -- a 29 dic 1763"	
E 		1			14 May 1764	14 May 1764	Print notice by Public Meeting 	"Account of Logwood Prohibition, of petition to Gov of Jam, and of order to evacuate R Hondo by Joseph Rosado on 22 Feb 1764 [verbatim, translated], carried to Philadelphia by vessel, possibly marking first print, published public notice by Public Meeting"	Old	Joseph Rosado									New-Hampshire Gazette 401 p2				
E 		1			1 Jan 1765	30 Dec 1770	Commentaries on the Laws of England published																
E 				xxx	1 Jan 1765	30 May 1766	Yuc helps Hon slaves reach amnesty	Spanish station boats at Hondo to help or seduce slaves to amnesty	Hondo											"SPF Spain 180 [22 Jul, 11, 25 Aug 1768]
SPF Spain 181 [20 Mar 1769]
SPF Spain 183 [10 Feb 1770]
MEXICO,3018 -- a 15 mayo, 17 oct 1766
MEXICO,3099 -- a 15 mayo 1766, a 19 feb 1768, a 7 ago, 26 oct 1771
Ann Reg [1765]
ADM 1/238 [20 Nov 1767, 20 Jun, 8 Jul 1771]
ADM 1/239 [9 Oct 1773]
CO 123/13 [c Nov or Dec 1790, Hunter to Gov of Yuc]
MM A1 [5 Jun 1794]"	"Burdon I p115—6
Calderon 212 no 53, 216 no 67"	"Lower Start assumed as first dry season after Upper End of Cook’s Revolt

1765, Extract from Annual Register. ... numbers of the Baymen's slaves desert daily to the Spaniards; whereas, all the wood in the old tracts, within reach of the floods being cut down, their labour is wanted more than ever to bring it [wood] to these tracts from whence, on the rising of the rivers /via Burdon 1 p109 /Ann Reg

Petition of Honduras Settler to George III. ... The Claim of Joseph Maud and Company. ... Two negro slaves named Dick and Granby run away from our logwood works at the Rio Hondo to the Spaniards at Bacalar, and there seen secreted by them.--£100. /via Burdon 1 p111 /SPF Spain 177 [15 May 1766]

CRISTOBAL DE ZAYAS, GOBERNADOR DE YUCATAN, A ARRIAGÁ, EN MERIDA, A 15-5-766. ""...En estos días han venido fugitivos de Río Hondo algunos ingleses por el mal trato que les dan los rancheros de los cortes de palo en que se dedican. Con esto se toma la providencia con arreglo a las reales órdenes de dirigirlos en los barcos que suelen navegar de esta provincia a la Habana, para que aquel governador lo remita a donde es costumbre..."" /via Calderon 212 no 53 /MEXICO,3018 -- a 15 mayo 1766

MINUTA DE LA REAL ORDEN DE ARRIAGA A ZAYAS, EN MADRID A 19-2-768. ""Hice presente al Rey la carta de V. S. de 24-9-767 en que participa, que abusando los ingleses establecidos en Walix del preliminar 17 del último Tratado de Paz, e interpretándole a su modo, han procurado aproximarse al Presidio de Bacalar con pretexto de reclamar esclavos fugitivos, insultando a los vigías que impiden el comercio ilícito, y últimamente solicitando establecer sus cortes de palo en la Bahía del Espíritu Santo, por haber apurado el de Walix, lo que trae los inconvenientes que V. S. indica..."" /via Calderon 212 no 55 /MEXICO,3099 -- a 19 feb 1768

ANTONIO OLIVER A JUAN BOTHAM, EN MERIDA A 7-8-771. ""Tengo respondido a V. S. muy difusamente sobre los dos punto a que se reduce la carte de V. S de 9-7-771, porque son los mismos de que trataba la de 21-5-771. El Rey no puede negar la hospitalidad y protección del extranjero de cualquiera condición, ... La libertad en que los negros fugitivos quedan cuando vienen, no deja arbitrio de que indemnizar al dueño, que tenía la propiedad de su dominio, pues nadie le adquiere sobre su persona para responder de aquel daño con el interés que se figura, de compra que no existe. ... Si con la facilidad que los indios vasallos del Rey mi Amo se han pasado al Walis se huyeren y regresaren los negros reclamados, lo miraré con la indiferencia que merece su inconstancia, y el ningún interés que de su permanencia resulta a esta provincia, y prometo a V. S., como Oficial de honor, que siempre que alguno se pasare con justificación, de que ha sido inducido por vasallo del Rey, daré un notorio y ejemplar castigo al inductor, y restituiré al esclavo seducido, con la protesta de que la inmunidad del terreno le preserve de la pena merecida. /via Calderon 216 no 67 /MEXICO,3099 -- a 7 ago 1771

1785, November 26th. Rober White to Lord Carmathen, Sec. of State. Intelligence from the Bay. ... A settlement of Spaniards has been formed up the Belize River on the North Bank not far from the [1783] Boundary. Negroes are still decoyed by the Spaniards.  /via Burdon 1 p151 /CO 123/3

[Interim Superintendent Col Peter] Hunter [complained to Gov of Yuc] against the conduct of the Spaniards in fomenting slave-revolts in the British [Hon] areas, and in enticing away the slaves of British Settlers under a pretence of granting them freedom ... [eg] of the conduct of a certain Peter Gonzales, who had come into the Settlement as interpreter of the Spanish Commissary [per 1786 Convention of London]. States that this man had attempted to corrupt several negro slaves with money and to induce them to set fire to the houses and betray the settlement ... /via Burdon 1 p190 /CO 123/13

Letter of April 26th, 1792, Magistrates to Col Hunter, complaining that 30 slaves had fled to the Spaniards since Christmas. /via Burdon 1 p199 /xxx

Potts to ? 28 May 1792. It is but a Week ago since a whole Gang about Twelve in number ... Deserted in a Body to the Spaniards, got safe in to the Look out & were as usual joyfully received, this last Desertion has caused a general dread & apprehension amongst the Inhabitants of this Settlement, who perceive nothing less than the total ruin of their Property, should a speedy Stop not be put to a practice so disgraceful to Society & so repugnant to Justice. /v Bolland 75 159 /CO 123/13

11 Jun 1793 Memorial of Garnett and Armstrong to Dundas. [Y]our Memorialists have very recenty experienced an additional loss by having 24 of their Negroes revolted who have been enticed by the Spaniards (under a preence of granting their Freedom) to Bacalar ... /v Bolland 75 160 /CO 123/13

1794, June 5th. Magistrates' Meeting. Letters written to Capt Gen of Yuc and Commandant of Bacalar demanding restitution for five slaves who had deserted from the Rio Honda and had been conveyed from the English limits to the Castle at Bacalar by a Spanish Corporal. /via Burdon 1 p210 /MMA 1"	
E 				Crs 1	1 Jan 1765	30 Jan 1765		"Dutch loggers of three sloops fm Curaçao commit “insolences,” thereafter seized by Yucatan"	xxx										London Chronicle 1301 p8				
E 		1			9 Apr 1765	9 Apr 1765	Burnaby’s Code	Mr. J. Maud and Adm. Burnaby codify Settlement’s common law	St. George’s		Joseph Maud / Adm. William Burnaby								Boston News-Letter 3535 Supplement p1	Laws 1765—1810	Burdon I p100	Signatures inc women and [likely] unpropertied men	
E 				Fin 1	22 Jun 1765			Exhaustion of logwood leads to crisis	xxx						sev settlers returning w slaves to Mos / to Pensacola			Log so scarce that vessels lie frequently 9 or 10 months for loading	"London Chronicle 1374 p8
Gazetteer and New Daily Advertiser 11427 p2
Boston Post-Boy 458 p3
Gazetteer and New Daily Advertiser 11 728 p2"			"“Letters from the bay of Honduras dated the latter end of June [1765], are full of complaints of the little advantage now to be made in the cutting of logwood, which is so scarce that vessels lie frequently 9 or 10 months for their loading, till their bottoms are eaten out with worms. This scarcity is owing to all the logwood which lay any way contiguous to the river being cut down and brought away since we got possession of it. So that nothing is left in the old tracks, but what lies so far back from the rivers, as makes it almost impracticable, or at least too tedious and expensive to carry it upon negroes to the water side.” /LC 1374"	
E 				Fin 1	22 Jun 1765			Great or strong “Freshes” preclude logging	xxx									Freshes have been so great / Hondo runs c 5 knots p hr / no business done 25 Oct to 29 Nov 65 / expect little Wood Dec 65 to Jan 66	"London Chronicle 1374 p8
New-York Gazette 351 p3"				
E 				Rev 1	1 Aug 1765			Mr. Thomas Cook’s slaves start a general revolt	New		sev Neg	sev Crafs w armed men	"Cook, Carpenter, 3 seamen killed, 2 t 3 Neg"				min 1 fam robbed [likely]	held New R	"Boston Evening-Post 1565 p2
Boston Evening-Post 1569 p2
Gazetteer and New Daily Advertiser 11431 p6
Public Ledger 1835 p2
London Evening Post 5943 p1"	CO 137/62 [Maud to Littelton 7 Oct 1765]	Bolland 75 151	"Revolters’ names not provided

Mr. Cook, of the Bay of Honduras, has been murdered by his own negroes, who have since killed three English seamen; some craft, with armed men, are gone after them, being allowed all the plunder they may take from them, and ten ton of logwood for every negroe they bring in, alive or dead. /GNDA 11431

7 Oct 1765 Maud to Littelton. The want of power we lately very severely experience in a very dangerous case viz the Negroes belonging to one Mr. Thomas Cooke late of Jamaica, rebelled, killed their Master and a Caprenter robbed the house of every thing that was valuable, and fled to the woods; a few days after they murdered three Men in a small Schooner of mine, that went into the New River to load Logwood, and the poor people unhappily falling into the hands of those inhuman wretches fell a sacrifice, and they sunk the vessell; For want of power to compel people to take arms agains thtem we habe not been able to raise a party, and they still continue in Rebellion and have entirely stopped the communication of the New Riber, altho there are not above ten or twelve men able to carry arms amongst them all, and if they do not destroy one another by their own Cabals (as we have some hopes they will do, two or three being killed by the others) we do not know when it will end. /v Bolland 75 /CO 137/62"	
E 				Rev 1	22 Aug 1765		Siege of New R	"Slave revolters blockade New R, and ask for but are denied Sp [Yuc likely] asylum"	New		c 70 revolters		killed sev seamen [New] 1 Sp		many bay men deserted works [in New?]				Lloyd's Evening Post 1310 p2			"Madrid, November 5. The ships lately arrived from [Sp] Honduras bring an account, that the Negroes, ... have taken and murdered several English, and even one Spaniard, who came to treat with them about an accommodation, and that they had sent an express to our [Sp] Governor, to know if they might hope for protection in case the English should drive them from their post; but that the Governor told them, they had no protection to expect; and ordered them to retire out of the Spanish territories. /Lloyd’s EP 1310"	
E 				Rev 1	1 Sep 1765		Jamaica Reinforcements Sail for Bay	Royal Navy helps quell slave revolt	xxx			"3 Sloops of War Swift, Speedwell, Beaver"							"Gazetteer and New Daily Advertiser 11 518 p2
Public Ledger 1835 p2
London Evening Post 5943 p1"				
E 				Rev 1	1 Sep 1765		Falling Out Breaks Revolt	Revolters have a falling out which breaks the revolt	xxx				sev slaves hanged [of 70?] / the ringleaders hanged	some Neg taken prisoners					Gazetteer and New Daily Advertiser 11 518 p2				
E 		1			1 Jan 1766	31 Dec 1766	Free Neg at Bacalar	First mention of free Neg in Bacalar = 30 or 40.	Bacalar											xxx	"Gerhard 73 = Calderón Quijano, 1944, p. 199; 1953, pp. 214–215, 283 "		
E 				Fin 1	16 Apr 1766			Exhaustion of logwood leads to crisis	xxx									wood scarce / c 70 vessels waiting	Boston Post-Boy 458 p3	ADM 1/238 [26 Jun 1771]	Burdon 1 p118	"John Lawrie, Sowell Eve and J. Alexander, Honduras Bay, to Capt. Botham. As there is but little logwood remaining in the Balize, Rio Hunda and New River, and they are assured there are large quantities in the Gulf of Monteak and the Northward of the Rio Hunda, many of them are desirous of removing to those places. /via Burdon 1 p118 /Adm 1/238 [26 Jun 1771]"	
E 		1			15 May 1766	15 May 1766	Hon currency	First record of Bay currency worth a quarter of Jamaica currency	St. George’s											CO 123/5	Burdon I p112		
E 				Fin 1	21 Jun 1766			Scarcity of provisions precludes Fleet from leaving	"Old, St. George’s"									Prov esp bread so very scarce / many vessels ready to sail could not for want thereof	"Boston Post-Boy 467 p3
Public Advertiser 6932 p4
New-York Gazette 394 p3
New-York Gazette 397 p2
New-York Gazette 408 p2"				
E 				Fin 1	21 Jun 1766			Scarcity of provisions precludes Fleet from leaving	"Old, St. George’s"									Prov scarce [likely] to min 1 Nov 66		xxx			
E 				Crs 1	1 Feb 1767	30 Apr 1767		French and Dutch loggers grow numerous in Settlement	xxx						Fr Dutch Log cutters extremely numerous in bay				London Chronicle 1604 p8	BL Add MS 12404 bk 1 ch 12	Burdon 1 p125	"Assume three month period

1774. Edward Long urges strongly the necessity for recognising Honduras as a British Colony in order that the Navigation Acts might be strictly enforced to stop shipment of wood in Dutch vessels. /via Burdon 1 p125 /BL Add MS 12404 book 1 ch 12"	
E 				Hos 8	1 Mar 1767		Hondo R Disturbances	Sp engage Baymen or vice versa	Hondo				some Baymen murdered	Neg of oldest settlers carried off fm Hondo			"houses, cattle burnt at Hondo"		"London Evening Post 6165 p6
New-York Gazette 422 p2
London Chronicle 1632 p6
New-York Mercury 813 p2"			"Kingston, Jamaica, April 18. Wednesday afternoon arrived at Port-Royal, in 17 days passage, an open express-boat from the Bay of Honduras, with an account that the Spaniards have revolted there, seized several Negroes, the properties of the inhabitants, as also murdered some of the Bay-men. /LEP 6165

Charles-Town, April 17. ... The master of a vessel, arrived here fromt he bay of Honduras, says, that the Spaniards had committed some irregularities against the logwood cutters settled on the Rio Honde. /LC 1632"	
E 				Hos 12	25 Jul 1767	25 Jul 1767		One Indian raid on Capt. Naismith of Settlement	xxx		party of Indians	Capt. Naismith	1 Neg killed				house sacked [likely?]			xxx			
E 				Crs 22	1 Feb 1768	30 Apr 1768		"Riots or civil unrest break out, which Magistrates nor HMS Earl of Egmont are able to restrain"	St. George’s		HMS Earl of Egmont									"CO 137/63 [Admiralty to Hillsborough 27 Jul, 23 Aug, 12 Oct 1768 / Parry to Stephens 27 Mar 1768]
ADM 1/238 [Parry to Stephens 27 Mar, 28 Jun, 12 Dec 1768]"	"Bolland 75 78
Burdon 1 114"	"27 Mar 1768 Parry to Stephens. The Earl of Egmont armed schooner returned lately from the Bay of Honduras to which place I informed their Lordships in my last I had sent her to establish regularity and enforce Obedience amongst the Baymen to acts of Justice and Equity, and to which all the Inhabitants had subscribed their names, being a code of Laws calculated for their general good, but I am very sorry to be obliged to say thet her Commander has not been able to put into execution those salutary measures; for the Major part of them have resisted the power that had been usually invested in the Magistrates, protesting against any authority I had over them, and have shook off all sort of Subordination so that those Magistrates who had managed matters with a kind of regularity, and who, by their authority kept the most licentious in awe, and curbing them from treating the Spaniards with that Cruelty which they are thoroughly inclidned ot do and have done on so many occasions, are now divested of their power, and are now themselves subjected to riot, insult and confusion ... /v Burdon 1 114 /ADM 1/238"	
E 				Crs 1	1 Jun 1768	30 Sep 1768		French merchants outcompete English in Fleet	xxx									Eng wool has hardly any sale in Bay / Fr bring manufactures 30 pc cheaper	Westminster Journal and London Political Miscellany 1234 p2				
E 		1			1 Jan 1769	30 Dec 1769	Arkwright water frame	"Richard Arkwright receives patent no. 931 for ""A new Piece of Machinery never before found out, practised, or used, for the Making of Weft or Yarn from Cotton, Flax, and Wool, ... .”"	London		Richard Arkwright												
E 		1			1 Jan 1770	31 Dec 1770	Shipwright in Hon	"Oswall Eves builds 30 tonne vessel or schooner, and is sold for J £ 350 in 1775"	xxx		Oswall Eves									MSR 13 Mar 1775	Burdon I p125	"1775, March 13th. Recorded that ""A Vessell or Schooner of the burthen of Thirty Tons or thereabouts built in the Bay of Honduras in the year 1770 by Oswall Eves"" was sold to a Mosquito Shore settler for £350 Jamaica Currency. /Burdon 1 p125 /MSR"	
E 				Hos 8	1 Jul 1770		Sharp Dispute	Sp engage Baymen or vice versa	xxx				sev bay men killed in dispute						London Evening Post 6678 p4			"LONDON ... Private letters formt he Bay of Honduras say, that a sharp dispute had happened between the Bay-men and the Spaniards, in which several fo the former were killed. /LEP 6678

Possibly cf proposal to capture Bacalar by Thomas Southwell Bib Real, DIG/II/2831, Misceláneos, Tomo XVII [Propuestas por D. Thomas Southwell el año de 1770] /v Barke 16 133 "	
E 				Hos 8	1 Jul 1770			Sp surprise Fleet	xxx							min 2 ships driven off wo loading	destroyed all mahogany lying in some bays		"Gazetteer and New Daily Advertiser 12 971 p2
Middlesex Journal 250 p2
New-York Journal 1456 p208"				
E 		1			16 Jul 1770	16 Jul 1770	Yuc granted free trade	Real cédula grants Yucatan and Campeche free trade to select Sp ports														"See M. I. Campos Goenaga, Link: https://www.redalyc.org/pdf/351/35102904.pdf"	
