no	standard	link	no	adoption	note	extract
272	XML Schema	https://en.wikipedia.org/wiki/XML_Schema_(W3C)	null	no	not standards or xml-specific	`null`
273	JSON	https://en.wikipedia.org/wiki/JSON	null	no	not standards or json-specific	`null`
274	RDF Data Cube Extensions	https://www.w3.org/TR/qb4st/	null	no	not standards or rdf-specific	`null`
275	JSON-LD	https://en.wikipedia.org/wiki/JSON-LD	null	no	not standards or json-ld-specific	`null`
276	CSV by W3C	https://www.w3.org/2013/csvw/wiki/Main_Page	null	no	not standards or csv-specific	`null`
277	CSV by FD	https://specs.frictionlessdata.io//tabular-data-package/	null	no	not standards or csv-specific	`null`
278	CSV by JT	https://github.com/JeniT/linked-csv	null	no	not standards or csv-specific	`null`
279	OWL	http://www.w3.org/TR/owl-overview	null	no	not standards or owl-specific	`null`
280	QNames for XML	http://www.w3.org/TR/xml-names11	null	no	not standards or xml-specific	xml-specific namespaces ie vocabs
281	CURIEs	http://www.w3.org/TR/curie	null	no	not standards	language-independent namespaces ie vocabs
282	BFO	http://xmlns.com/foaf/spec/	null	no	not standards	upper-level ontology
283	schema.org	https://schema.org/	null	no	not standards	upper-level ontology
284	WikiData	https://www.wikidata.org/wiki/Wikidata:Main_Page	null	no	not standards	upper-level ontology
285	DBpedia	https://www.dbpedia.org/about/	null	no	not standards	"upper-level ontology, derivative of WikiData"
286	gist	https://www.semanticarts.com/gist/	null	no	not standards	upper-level ontology
287	LOV Directory	https://lov.linkeddata.es/dataset/lov/	null	no	not standards	directory for commonest vocabs or upper-level ontologies
288	LCNAF	http://id.loc.gov/authorities/names.html	null	no	not standards	vocab for authorities ie authors etc
289	VIAF	https://viaf.org/	null	no	not standards	vocab for authorities ie authors etc
290	ISNI	https://isni.oclc.org/xslt/	null	no	not standards	vocab for authorities ie authors etc
291	ORG	http://www.w3.org/TR/vocab-org/	null	no	not standards	vocab for non-natural persons
292	FOAF	http://xmlns.com/foaf/spec/	null	no	not standards	vocab for human networks ie human-human relations ie edges
293	ISO 639	https://www.loc.gov/standards/iso639-2/php/code_list.php	null	no	not standards	vocab for language data values
294	ISO 8601	https://www.iso.org/iso-8601-date-and-time-format.html	null	no	not standards	vocab for date-time values
295	ISO 4217	https://www.iso.org/iso-4217-currency-codes.html	null	no	not standards	vocab for currency values
296	ISO 3166	https://www.iso.org/iso-3166-country-codes.html	null	no	not standards	vocab for country values
297	Getty TGN	http://www.getty.edu/research/tools/vocabularies/tgn/index.html	null	no	not standards	vocab for geographic data
298	GeoNames	https://www.geonames.org/	null	no	not standards	vocab for geographic data
299	LinkedGeoData	http://linkedgeodata.org/	null	no	not standards	vocab for geographic data
300	LCSH	http://id.loc.gov/authorities/subjects.html	null	no	not standards	vocab for bibliography ie cataloguing
301	FAST	https://www.oclc.org/research/areas/data-science/fast.html	null	no	not standards	"vocab for bibliography ie cataloguing, is derivative of LCSH"
302	UNESCO	http://vocabularies.unesco.org/thesaurus	null	no	not standards	vocab for bibliography ie cataloguing
303	ICPSR	https://www.icpsr.umich.edu/icpsrweb/ICPSR/thesaurus/index	null	no	not standards	vocab for bibliography ie cataloguing
304	CIDOC CRM	https://cidoc-crm.org/	null	no	not standards	vocab for bibliography ie cataloguing
305	EAD	https://en.wikipedia.org/wiki/Encoded_Archival_Description	null	no	not standards	vocab for bibliography ie cataloguing
306	Dublin Core ie DCMI	https://www.dublincore.org/	null	no	not standards	vocab for metadata
307	IOA	https://ontobee.org/ontology/IAO	null	no	not standards	vocab for metadata
308	DDI	http://www.ddialliance.org/controlled-vocabularies	null	no	not standards	vocab for metadata
309	SKOS	http://www.w3.org/2004/02/skos/core	null	no	not standards	vocab for metadata
310	DCAT	https://www.w3.org/TR/vocab-dcat/	null	no	not standards	vocab for metadata
311	VOID	http://www.w3.org/TR/void/	null	no	not standards	"vocab for metadata, is a derivative of Dublin Core and RDF Schema"
312	QUDT	https://www.qudt.org/	null	no	not standards	vocab for metadata esp datatypes
313	CC	https://lov.linkeddata.es/dataset/lov/vocabs/cc	null	no	not standards	vocab for licensing
314	PURL	https://purl.archive.org/	null	no	not standards	http URI service
315	PermID	http://permid.org/	null	no	not standards	http URI service
316	W3ID	https://rml.io/yarrrml/matey	null	no	not standards	http URI service
